name,inhabitants,DATE,NIS_prov,confirmed_cases,tested_cases,confirmed_per_tested_5days_window,hospitalised_IN,recovered,deceased_hosp,ICU,confirmed_cases_per_100k,hospitalised_IN_per_100k,recovered_per_100k,deceased_hosp_per_100k,ICU_per_100k
Provincie Antwerpen,1869730,2020-01-02,10000,,,,,,,0,,,,,0
Provincie Antwerpen,1869730,2020-01-03,10000,,,,0,,,0,,0,,,0
Provincie Antwerpen,1869730,2020-01-04,10000,,,,1,,,,,0.053483658068277,,,
Provincie Antwerpen,1869730,2020-01-05,10000,,,,0,,,,,0,,,
Provincie Antwerpen,1869730,2020-01-06,10000,,,,0,,,,,0,,,
Provincie Antwerpen,1869730,2020-01-07,10000,,,,1,,,,,0.053483658068277,,,
Provincie Antwerpen,1869730,2020-01-08,10000,,,,0,,,1,,0,,,0.053483658068277
Provincie Antwerpen,1869730,2020-01-09,10000,,,,1,,,,,0.053483658068277,,,
Provincie Antwerpen,1869730,2020-01-10,10000,,,,0,,,,,0,,,
Provincie Antwerpen,1869730,2020-01-13,10000,,,,0,,,,,0,,,
Provincie Antwerpen,1869730,2020-01-14,10000,,,,0,,,,,0,,,
Provincie Antwerpen,1869730,2020-01-15,10000,,,,0,,,,,0,,,
Provincie Antwerpen,1869730,2020-01-17,10000,,,,0,,,,,0,,,
Provincie Antwerpen,1869730,2020-01-19,10000,,,,0,,,,,0,,,
Provincie Antwerpen,1869730,2020-01-20,10000,,,,0,,,,,0,,,
Provincie Antwerpen,1869730,2020-01-21,10000,,,,0,,,,,0,,,
Provincie Antwerpen,1869730,2020-01-22,10000,,,,0,,,,,0,,,
Provincie Antwerpen,1869730,2020-01-23,10000,,,,0,,,,,0,,,
Provincie Antwerpen,1869730,2020-01-24,10000,,,,0,,,,,0,,,
Provincie Antwerpen,1869730,2020-01-25,10000,,,,1,,,,,0.053483658068277,,,
Provincie Antwerpen,1869730,2020-01-26,10000,,,,0,,,,,0,,,
Provincie Antwerpen,1869730,2020-01-27,10000,,,,0,,,,,0,,,
Provincie Antwerpen,1869730,2020-01-28,10000,,,,0,,,,,0,,,
Provincie Antwerpen,1869730,2020-01-29,10000,,,,1,,,,,0.053483658068277,,,
Provincie Antwerpen,1869730,2020-01-30,10000,,,,0,,,,,0,,,
Provincie Antwerpen,1869730,2020-01-31,10000,,,,1,,,,,0.053483658068277,,,
Provincie Antwerpen,1869730,2020-02-01,10000,,,,0,,,,,0,,,
Provincie Antwerpen,1869730,2020-02-02,10000,,,,1,,,,,0.053483658068277,,,
Provincie Antwerpen,1869730,2020-02-03,10000,,,,0,,,,,0,,,
Provincie Antwerpen,1869730,2020-02-04,10000,,,,0,,,,,0,,,
Provincie Antwerpen,1869730,2020-02-05,10000,,,,1,,,,,0.053483658068277,,,
Provincie Antwerpen,1869730,2020-02-06,10000,,,,0,,,,,0,,,
Provincie Antwerpen,1869730,2020-02-07,10000,,,,0,,,,,0,,,
Provincie Antwerpen,1869730,2020-02-08,10000,,,,0,,,,,0,,,
Provincie Antwerpen,1869730,2020-02-09,10000,,,,0,,,,,0,,,
Provincie Antwerpen,1869730,2020-02-10,10000,,,,0,,0,0,,0,,0,0
Provincie Antwerpen,1869730,2020-02-11,10000,,,,1,,,,,0.053483658068277,,,
Provincie Antwerpen,1869730,2020-02-12,10000,,,,0,,,,,0,,,
Provincie Antwerpen,1869730,2020-02-13,10000,,,,0,,,,,0,,,
Provincie Antwerpen,1869730,2020-02-14,10000,,,,2,,,,,0.106967316136554,,,
Provincie Antwerpen,1869730,2020-02-15,10000,,,,2,,,,,0.106967316136554,,,
Provincie Antwerpen,1869730,2020-02-16,10000,,,,0,,,,,0,,,
Provincie Antwerpen,1869730,2020-02-17,10000,,,,3,,,,,0.160450974204832,,,
Provincie Antwerpen,1869730,2020-02-18,10000,,,,0,,,,,0,,,
Provincie Antwerpen,1869730,2020-02-19,10000,,,,1,,,,,0.053483658068277,,,
Provincie Antwerpen,1869730,2020-02-20,10000,,,,2,,,,,0.106967316136554,,,
Provincie Antwerpen,1869730,2020-02-21,10000,,,,2,,,,,0.106967316136554,,,
Provincie Antwerpen,1869730,2020-02-22,10000,,,,1,,0,,,0.053483658068277,,0,
Provincie Antwerpen,1869730,2020-02-23,10000,,,,0,,,0,,0,,,0
Provincie Antwerpen,1869730,2020-02-24,10000,,,,2,,,,,0.106967316136554,,,
Provincie Antwerpen,1869730,2020-02-25,10000,,,,0,,,,,0,,,
Provincie Antwerpen,1869730,2020-02-26,10000,,,,0,,,,,0,,,
Provincie Antwerpen,1869730,2020-02-27,10000,,,,0,0,,,,0,0,,
Provincie Antwerpen,1869730,2020-02-28,10000,,,,2,0,,0,,0.106967316136554,0,,0
Provincie Antwerpen,1869730,2020-02-29,10000,,,,1,,,0,,0.053483658068277,,,0
Provincie Antwerpen,1869730,2020-03-01,10000,1,18,,0,,,,0.053483658068277,0,,,
Provincie Antwerpen,1869730,2020-03-02,10000,1,38,,2,,,0,0.053483658068277,0.106967316136554,,,0
Provincie Antwerpen,1869730,2020-03-03,10000,5,112,0.057553956834532,2,1,,0,0.267418290341386,0.106967316136554,0.053483658068277,,0
Provincie Antwerpen,1869730,2020-03-04,10000,6,131,0.06390977443609,4,,,,0.320901948409663,0.213934632273109,,,
Provincie Antwerpen,1869730,2020-03-05,10000,11,118,0.069139966273187,2,0,,0,0.58832023875105,0.106967316136554,0,,0
Provincie Antwerpen,1869730,2020-03-06,10000,11,133,0.081227436823105,1,0,,0,0.58832023875105,0.053483658068277,0,,0
Provincie Antwerpen,1869730,2020-03-07,10000,8,99,0.092702169625247,4,0,,0,0.427869264546218,0.213934632273109,0,,0
Provincie Antwerpen,1869730,2020-03-08,10000,9,73,0.094161958568738,1,0,,,0.481352922614495,0.053483658068277,0,,
Provincie Antwerpen,1869730,2020-03-09,10000,8,84,0.100334448160535,2,0,,0,0.427869264546218,0.106967316136554,0,,0
Provincie Antwerpen,1869730,2020-03-10,10000,14,142,0.115332428765265,14,0,0,0,0.748771212955881,0.748771212955881,0,0,0
Provincie Antwerpen,1869730,2020-03-11,10000,21,200,0.107236268526591,9,0,0,1,1.12315681943382,0.481352922614495,0,0,0.053483658068277
Provincie Antwerpen,1869730,2020-03-12,10000,33,238,0.092896174863388,16,0,,5,1.76496071625315,0.855738529092436,0,,0.267418290341386
Provincie Antwerpen,1869730,2020-03-13,10000,47,483,0.097203728362184,14,2,0,1,2.51373192920903,0.748771212955881,0.106967316136554,0,0.053483658068277
Provincie Antwerpen,1869730,2020-03-14,10000,21,401,0.106875,7,0,0,2,1.12315681943382,0.374385606477941,0,0,0.106967316136554
Provincie Antwerpen,1869730,2020-03-15,10000,24,180,0.114285714285714,12,1,1,3,1.28360779363865,0.641803896819327,0.053483658068277,0.053483658068277,0.160450974204832
Provincie Antwerpen,1869730,2020-03-16,10000,46,298,0.131926121372032,19,0,1,3,2.46024827114075,1.01618950329727,0,0.053483658068277,0.160450974204832
Provincie Antwerpen,1869730,2020-03-17,10000,54,318,0.163329161451815,24,3,0,2,2.88811753568697,1.28360779363865,0.160450974204832,0,0.106967316136554
Provincie Antwerpen,1869730,2020-03-18,10000,55,319,0.173416999429549,20,5,1,3,2.94160119375525,1.06967316136554,0.267418290341386,0.053483658068277,0.160450974204832
Provincie Antwerpen,1869730,2020-03-19,10000,82,483,0.183743560389239,34,7,2,9,4.38565996159873,1.81844437432143,0.374385606477941,0.106967316136554,0.481352922614495
Provincie Antwerpen,1869730,2020-03-20,10000,67,335,0.198275862068966,37,10,0,3,3.58340509057457,1.97889534852626,0.534836580682772,0,0.160450974204832
