production_function,consumer_facing,industry,retail,ratio_c_s,tau,hiring_firing,unweighted,weighted
leontief,0.8,0.0,0.0,0.0,1,1,10.187975539520446,6.420132770865855
leontief,0.8,0.0,0.0,0.0,1,7,9.915660056320547,6.158493834874582
leontief,0.8,0.0,0.0,0.0,1,14,9.490323449495113,5.756734537279297
leontief,0.8,0.0,0.0,0.0,1,21,9.277496425038606,5.6929788434826225
leontief,0.8,0.0,0.0,0.0,1,28,9.339108870483997,5.875155916952394
leontief,0.8,0.0,0.0,0.0,7,1,10.073335102155951,6.13030458998744
leontief,0.8,0.0,0.0,0.0,7,7,9.871947478001454,5.968551631630869
leontief,0.8,0.0,0.0,0.0,7,14,9.556707142396007,5.733288972001401
leontief,0.8,0.0,0.0,0.0,7,21,9.37516165610398,5.690148044477347
leontief,0.8,0.0,0.0,0.0,7,28,9.562414571259364,6.032082737196645
leontief,0.8,0.0,0.0,0.0,14,1,10.029236957846479,6.04058575989396
leontief,0.8,0.0,0.0,0.0,14,7,9.811374999084043,5.823406038015002
leontief,0.8,0.0,0.0,0.0,14,14,9.586307742458477,5.720007377701328
leontief,0.8,0.0,0.0,0.0,14,21,9.59492352540313,5.951546509520701
leontief,0.8,0.0,0.0,0.0,14,28,9.875413303206123,6.433595126458072
leontief,0.8,0.0,0.0,0.0,21,1,10.036509733435356,6.052084566715463
leontief,0.8,0.0,0.0,0.0,21,7,9.794228074313043,5.814677023062912
leontief,0.8,0.0,0.0,0.0,21,14,9.628694718692753,5.759953054105079
leontief,0.8,0.0,0.0,0.0,21,21,9.800172951678947,6.2180869965977905
leontief,0.8,0.0,0.0,0.0,21,28,10.275081202626076,6.838121742293473
leontief,0.8,0.0,0.0,0.0,28,1,10.044840090994278,6.082228800486556
leontief,0.8,0.0,0.0,0.0,28,7,9.792300151843676,5.823169814372328
leontief,0.8,0.0,0.0,0.0,28,14,9.679496655754093,5.811958487508545
leontief,0.8,0.0,0.0,0.0,28,21,10.000905356771778,6.447388435491854
leontief,0.8,0.0,0.0,0.0,28,28,10.624224795818229,7.217441239144808
leontief,0.8,0.0,0.0,0.25,1,1,9.449999306263999,6.024899640510922
leontief,0.8,0.0,0.0,0.25,1,7,9.29170877459465,5.799897016786139
leontief,0.8,0.0,0.0,0.25,1,14,8.983867193288559,5.542986172538072
leontief,0.8,0.0,0.0,0.25,1,21,8.88377849348118,5.61316532428986
leontief,0.8,0.0,0.0,0.25,1,28,9.039093805725779,5.816368618901268
leontief,0.8,0.0,0.0,0.25,7,1,9.465227018840622,5.8754801559209655
leontief,0.8,0.0,0.0,0.25,7,7,9.327431493829506,5.750419670538575
leontief,0.8,0.0,0.0,0.25,7,14,9.04770599616798,5.570640957086112
leontief,0.8,0.0,0.0,0.25,7,21,8.952481502707531,5.620724978763001
leontief,0.8,0.0,0.0,0.25,7,28,9.237546018767992,5.978799292585239
leontief,0.8,0.0,0.0,0.25,14,1,9.475850086415132,5.825805739832836
leontief,0.8,0.0,0.0,0.25,14,7,9.31518486186029,5.681385760995671
leontief,0.8,0.0,0.0,0.25,14,14,9.10398940599077,5.600935014249129
leontief,0.8,0.0,0.0,0.25,14,21,9.165625636137973,5.862628188300746
leontief,0.8,0.0,0.0,0.25,14,28,9.519434202675955,6.351005341481927
leontief,0.8,0.0,0.0,0.25,21,1,9.474379198714562,5.83812746315016
leontief,0.8,0.0,0.0,0.25,21,7,9.31846331936849,5.700108813564326
leontief,0.8,0.0,0.0,0.25,21,14,9.165062596210817,5.662164740499593
leontief,0.8,0.0,0.0,0.25,21,21,9.362005411879107,6.112693588638923
leontief,0.8,0.0,0.0,0.25,21,28,9.820740220069741,6.704442684905553
leontief,0.8,0.0,0.0,0.25,28,1,9.47289029246766,5.864373504799177
leontief,0.8,0.0,0.0,0.25,28,7,9.314437398859624,5.72323174945968
leontief,0.8,0.0,0.0,0.25,28,14,9.205903645445225,5.7164443851496465
leontief,0.8,0.0,0.0,0.25,28,21,9.537585948005658,6.327007019056648
leontief,0.8,0.0,0.0,0.25,28,28,10.14212342706557,7.046179160996463
leontief,0.8,0.0,0.0,0.5,1,1,8.867989959396443,5.6993171159395395
leontief,0.8,0.0,0.0,0.5,1,7,8.796332834067538,5.56053926553683
leontief,0.8,0.0,0.0,0.5,1,14,8.639100527530545,5.414506558251647
leontief,0.8,0.0,0.0,0.5,1,21,8.638858145059206,5.575309338249022
leontief,0.8,0.0,0.0,0.5,1,28,8.87558838505471,5.794299043188374
leontief,0.8,0.0,0.0,0.5,7,1,8.970507162223939,5.671015745802056
leontief,0.8,0.0,0.0,0.5,7,7,8.862474582722525,5.5932429227547935
leontief,0.8,0.0,0.0,0.5,7,14,8.6705969074065,5.44777187778721
leontief,0.8,0.0,0.0,0.5,7,21,8.667258314271061,5.5866888168335
leontief,0.8,0.0,0.0,0.5,7,28,9.035335690632321,5.957268392353553
leontief,0.8,0.0,0.0,0.5,14,1,9.00161346189441,5.664013676954519
leontief,0.8,0.0,0.0,0.5,14,7,8.87762470359838,5.577870413577195
leontief,0.8,0.0,0.0,0.5,14,14,8.731464929947961,5.494452175707361
leontief,0.8,0.0,0.0,0.5,14,21,8.820517892158989,5.788822079457163
leontief,0.8,0.0,0.0,0.5,14,28,9.233128816787232,6.2828972954532745
leontief,0.8,0.0,0.0,0.5,21,1,9.02357352631804,5.685479248049066
leontief,0.8,0.0,0.0,0.5,21,7,8.894704361378881,5.607262544450149
leontief,0.8,0.0,0.0,0.5,21,14,8.778069804382518,5.569569520787476
leontief,0.8,0.0,0.0,0.5,21,21,9.020571887383811,6.033950006813734
leontief,0.8,0.0,0.0,0.5,21,28,9.498552943079813,6.6095866798071725
leontief,0.8,0.0,0.0,0.5,28,1,9.03074103637964,5.7101721288773035
leontief,0.8,0.0,0.0,0.5,28,7,8.904593728562583,5.631175926281962
leontief,0.8,0.0,0.0,0.5,28,14,8.81344341463578,5.624753317027232
leontief,0.8,0.0,0.0,0.5,28,21,9.168271182370336,6.219715524345866
leontief,0.8,0.0,0.0,0.5,28,28,9.712454137794612,6.862928796819295
leontief,0.8,0.0,0.0,0.75,1,1,8.624287710928767,5.52090675153253
leontief,0.8,0.0,0.0,0.75,1,7,8.619878703826268,5.424341906529762
leontief,0.8,0.0,0.0,0.75,1,14,8.565636485131911,5.400467897529235
leontief,0.8,0.0,0.0,0.75,1,21,8.615384094562517,5.593595404898493
leontief,0.8,0.0,0.0,0.75,1,28,8.864171204057817,5.838127586843453
leontief,0.8,0.0,0.0,0.75,7,1,8.748221049164137,5.543929575106356
leontief,0.8,0.0,0.0,0.75,7,7,8.683056794764727,5.467079331314091
leontief,0.8,0.0,0.0,0.75,7,14,8.576964427139583,5.408304878439635
leontief,0.8,0.0,0.0,0.75,7,21,8.609183982648961,5.604120112362597
leontief,0.8,0.0,0.0,0.75,7,28,8.969205309661454,5.9717303600212555
leontief,0.8,0.0,0.0,0.75,14,1,8.79251716159504,5.558992101964036
leontief,0.8,0.0,0.0,0.75,14,7,8.710964108847719,5.478803103945339
