,Non-hospitalised (no AD),Non-hospitalised (AD),Cohort,ICU,Deaths,Total (no AD),Total (AD)
0-12,"13423
(12015;14930)","157452
(49854;274172)","3873
(894;7006)","166
(63;312)","0
(0;0)","17462
(13893;21468)","161491
(53118;278452)"
12-18,"6751
(6057;7499)","68913
(22364;119343)","1487
(348;2690)","305
(131;521)","502
(245;796)","9045
(7620;10774)","71208
(24414;121733)"
18-25,"5288
(4711;5898)","48488
(16000;83893)","1420
(332;2589)","244
(104;405)","0
(0;0)","6951
(5643;8433)","50151
(17101;85632)"
25-35,"9130
(8144;10203)","72651
(24379;126004)","3566
(846;6414)","531
(217;913)","2276
(1328;3406)","15502
(12285;19277)","79023
(30135;132496)"
35-45,"11919
(10635;13240)","79551
(27815;136155)","4253
(1053;7658)","1025
(420;1744)","4989
(3533;6750)","22185
(18003;26470)","89817
(37157;146527)"
45-55,"11049
(9846;12345)","60648
(22096;103103)","6004
(1562;10787)","2016
(863;3403)","11183
(8247;14077)","30253
(24484;36381)","79852
(40741;123085)"
55-65,"7155
(6351;8005)","31563
(12213;52503)","5368
(1427;9478)","2487
(1105;4157)","21750
(18206;25285)","36760
(31298;43337)","61168
(40315;82328)"
65-75,"2705
(2399;3047)","9111
(3847;14696)","5946
(1784;10449)","3162
(1449;5088)","45420
(40089;50999)","57233
(49661;64739)","63640
(54108;73470)"
75-85,"926
(812;1052)","2208
(1072;3427)","4248
(1491;7195)","1382
(637;2239)","52241
(47264;57450)","58796
(52750;64975)","60079
(53991;66113)"
85+,"462
(405;525)","735
(434;1053)","1421
(597;2318)","99
(49;164)","19288
(17760;20972)","21270
(19371;23250)","21543
(19687;23538)"
Total,"68807
(61355;76777)","531321
(180293;914343)","37586
(10347;66245)","11416
(5105;18499)","157649
(146532;170026)","275458
(240383;313122)","737971
(381697;1120947)"
