,Non-hospitalised (no AD),Non-hospitalised (AD),Cohort,ICU,Deaths,Total (no AD),Total (AD)
0-12,"8270
(7280;9352)","90236
(14582;157711)","1794
(432;3082)","73
(20;140)","0
(0;0)","10136
(8429;11889)","92079
(16423;159442)"
12-18,"4599
(4054;5177)","43563
(7403;75963)","792
(191;1351)","158
(43;277)","254
(125;416)","5804
(4968;6680)","44756
(8526;77025)"
18-25,"3739
(3248;4278)","31716
(5667;54786)","861
(209;1480)","147
(40;256)","0
(0;0)","4748
(3934;5613)","32712
(6479;55825)"
25-35,"6593
(5730;7541)","48277
(9210;82875)","2210
(539;3785)","319
(83;546)","1358
(841;1959)","10480
(8406;12473)","52132
(12573;86823)"
35-45,"8483
(7444;9686)","51582
(10766;87745)","2620
(666;4434)","606
(164;1020)","2981
(2129;3902)","14689
(12072;16967)","57748
(16660;93621)"
45-55,"8186
(7102;9419)","40321
(9461;67807)","3804
(1002;6433)","1231
(356;2044)","6784
(4865;8396)","20005
(16666;23280)","52078
(20886;79521)"
55-65,"4783
(4088;5562)","18573
(4998;30583)","3069
(866;5172)","1398
(411;2330)","12027
(10026;14919)","21277
(17736;24985)","35015
(21034;48394)"
65-75,"1786
(1486;2126)","5186
(1670;8394)","3366
(1100;5565)","1738
(575;2832)","24676
(22406;27343)","31566
(27673;35399)","34910
(29820;40108)"
75-85,"507
(392;630)","1024
(417;1650)","1976
(764;3156)","610
(223;993)","22990
(20883;25499)","26084
(23459;28960)","26575
(23632;29661)"
85+,"278
(215;346)","375
(206;556)","621
(301;956)","41
(18;71)","7839
(7043;8729)","8779
(7932;9755)","8870
(7957;9836)"
Total,"47225
(41067;54111)","330853
(64709;566318)","21113
(6043;35368)","6321
(1913;10391)","78909
(72366;85375)","153568
(134389; 173180)","436876
(166479; 673679)"
