,Non-hospitalised (no AD),Non-hospitalised (AD),Cohort,ICU,Deaths,Total (no AD),Total (AD)
0-12,"3832
(3294;4452)","21676
(6349;38589)","378
(85;660)","16
(6;31)","0
(0;0)","4226
(3548;4895)","22069
(6686;38978)"
12-18,"2223
(1914;2575)","11827
(3535;20923)","191
(43;333)","40
(16;66)","57
(25;85)","2511
(2125;2897)","12115
(3796;21171)"
18-25,"1706
(1453;1996)","8619
(2637;15277)","208
(47;365)","37
(14;62)","0
(0;0)","1951
(1622;2276)","8864
(2858;15463)"
25-35,"3003
(2563;3511)","14102
(4441;24878)","581
(132;1014)","86
(34;144)","332
(218;457)","4002
(3318;4710)","15098
(5304;25652)"
35-45,"3980
(3429;4621)","16920
(5537;29562)","776
(181;1349)","186
(75;302)","842
(591;1088)","5784
(4871;6713)","18720
(7179;30870)"
45-55,"3801
(3259;4438)","14284
(4945;24761)","1247
(312;2162)","404
(157;663)","2106
(1681;2569)","7558
(6353;8843)","18032
(8631;28327)"
55-65,"2149
(1819;2531)","6914
(2586;11725)","1081
(296;1870)","496
(202;809)","4033
(3306;4811)","7759
(6558;9082)","12515
(7955;17474)"
65-75,"783
(636;945)","2037
(858;3379)","1350
(404;2279)","713
(306;1140)","9355
(8577;10662)","12201
(10686;14019)","13440
(11577;15742)"
75-85,"193
(135;254)","372
(173;616)","928
(327;1521)","298
(134;476)","10286
(9374;11069)","11704
(10407;12782)","11877
(10580;12947)"
85+,"106
(72;143)","142
(81;223)","338
(155;520)","22
(11;36)","3997
(3594;4344)","4463
(3968;4910)","4498
(4002;4935)"
Total,"21775
(18623;25461)","96893
(31221;170476)","7079
(1979;12052)","2299
(968;3629)","31008
(28651;33387)","62161
(54752; 69902)","137229
(70949; 209237)"
