,Non-hospitalised (no AD),Non-hospitalised (AD),Cohort,ICU,Deaths,Total (no AD),Total (AD)
0-12,"16608
(14636;18765)","197303
(26040;350847)","3583
(692;6544)","163
(49;313)","0
(0;0)","20354
(16959;23636)","201196
(29011;353770)"
12-18,"8184
(7205;9250)","84602
(11832;150338)","1358
(265;2482)","280
(100;494)","395
(272;627)","10218
(8667;11596)","86690
(13597;152122)"
18-25,"6955
(5921;8054)","64553
(9483;113445)","1365
(268;2458)","238
(86;417)","0
(0;0)","8557
(6996;9979)","66210
(10818;114350)"
25-35,"12071
(10316;13928)","97186
(15341;169628)","3447
(698;6178)","492
(168;907)","2424
(1850;3259)","18434
(15087;21760)","103686
(20609;175222)"
35-45,"15132
(13062;17368)","102102
(17791;177432)","3958
(817;7084)","934
(357;1655)","4290
(3275;4886)","24314
(20500;27990)","111438
(26092;185971)"
45-55,"14589
(12374;16910)","80895
(15707;139018)","5693
(1267;10070)","1922
(728;3348)","10891
(8402;13439)","33096
(27310;39164)","99616
(34732;157775)"
55-65,"9058
(7488;10705)","40335
(8939;69197)","4738
(1123;8252)","2149
(849;3634)","19481
(18076;21115)","35427
(30287;40254)","66882
(34891;93979)"
65-75,"3745
(2974;4553)","12726
(3421;21608)","5224
(1409;8988)","2744
(1093;4645)","41095
(36664;44666)","52807
(46220;59243)","61974
(50621;72617)"
75-85,"1396
(1032;1776)","3358
(1155;5624)","3237
(1011;5420)","1076
(437;1875)","41180
(37435;44229)","46889
(41485;51112)","48953
(43224;54242)"
85+,"798
(582;1024)","1280
(607;2023)","1155
(483;1820)","80
(36;131)","16350
(15403;17528)","18382
(17176;19922)","18897
(17475;20563)"
Total,"88537
(75574;102318)","684341
(110966;1195843)","33758
(8059;59301)","10077
(3861;17268)","136105
(127040;142380)","268478
(234734;299073)","865544
(289819;1372469)"
