,queuing_model,constrained_PI,PI
00,0.096,0.416,0.256
01,0.091,0.082,0.077
02,0.510,0.473,0.654
03,0.098,0.093,0.093
04,0.183,0.176,0.145
05,0.092,0.082,0.073
06,0.089,0.069,0.071
07,0.214,0.145,0.190
08,0.099,0.090,0.094
09,0.134,0.125,0.128
10,0.164,0.147,0.144
11,0.133,0.127,0.104
12,0.203,0.172,0.194
13,0.166,0.143,0.137
14,0.139,0.123,0.110
15,0.095,0.093,0.095
16,0.160,0.156,0.167
17,0.071,0.059,0.075
18,0.157,0.155,0.203
19,0.162,0.164,0.147
20,0.396,0.352,0.385
21,0.204,0.182,0.192
22,0.203,0.264,0.307
23,0.138,0.122,0.132
24,0.356,0.436,0.435
25,0.189,0.182,0.192
AA,0.144,0.122,0.138
PP,0.265,0.195,0.216
