,alpha,epsilon,Ki,Kp,MAE
00,"3.75E-05
(3.75E-05;3.75E-05)","5.06E-02
(5.06E-02;5.07E-02)","2.65E-07
(4.92E-08;4.99E-07)","1.19E-02
(1.19E-02;1.19E-02)",0.325
01,"6.85E-04
(6.79E-04;6.90E-04)","3.97E-01
(1.33E-01;6.88E-01)","4.92E-04
(1.26E-04;9.33E-04)","9.95E-01
(9.89E-01;1.00E+00)",0.083
02,"2.52E-04
(2.37E-04;2.69E-04)","1.95E-05
(2.04E-06;5.79E-05)","6.89E-03
(6.55E-03;7.24E-03)","1.12E-01
(1.07E-01;1.19E-01)",0.580
03,"3.19E-03
(3.07E-03;3.31E-03)","5.11E-01
(4.93E-01;5.33E-01)","9.89E-01
(9.65E-01;1.00E+00)","9.55E-01
(8.97E-01;1.00E+00)",0.106
04,"-1.95E-03
(-1.96E-03;-1.93E-03)","3.11E-02
(2.86E-02;3.19E-02)","2.91E-02
(2.74E-02;2.99E-02)","9.94E-01
(9.91E-01;9.98E-01)",0.088
05,"2.82E-03
(1.28E-03;4.33E-03)","1.60E-01
(1.41E-01;1.96E-01)","4.38E-01
(2.53E-01;6.48E-01)","5.91E-01
(9.93E-03;9.99E-01)",0.068
06,"2.49E-03
(2.37E-03;2.59E-03)","2.41E-01
(2.30E-01;2.57E-01)","9.71E-01
(8.95E-01;9.99E-01)","9.85E-01
(9.57E-01;1.00E+00)",0.061
07,"-8.09E-06
(-8.16E-06;-8.08E-06)","7.83E-06
(7.86E-08;5.56E-05)","7.52E-03
(7.48E-03;7.53E-03)","2.08E-06
(2.62E-08;1.14E-05)",0.130
08,"7.88E-04
(7.82E-04;7.97E-04)","1.37E-02
(4.66E-05;6.19E-02)","7.27E-05
(8.28E-06;2.36E-04)","9.91E-01
(9.82E-01;9.99E-01)",0.100
09,"2.27E-03
(2.18E-03;2.35E-03)","8.29E-01
(7.76E-01;8.76E-01)","9.80E-01
(9.43E-01;9.99E-01)","9.76E-01
(9.16E-01;9.98E-01)",0.091
10,"4.62E-05
(4.62E-05;4.63E-05)","3.30E-02
(3.28E-02;3.31E-02)","3.15E-03
(3.14E-03;3.15E-03)","7.81E-06
(8.94E-08;2.01E-05)",0.108
11,"4.54E-04
(4.54E-04;4.55E-04)","3.95E-06
(7.14E-08;2.17E-05)","1.49E-02
(1.49E-02;1.50E-02)","9.99E-01
(9.99E-01;1.00E+00)",0.109
12,"1.27E-04
(1.24E-04;1.33E-04)","7.40E-03
(5.94E-03;8.86E-03)","8.11E-03
(7.91E-03;8.35E-03)","5.94E-02
(5.63E-02;6.55E-02)",0.201
13,"5.23E-05
(5.07E-05;5.36E-05)","2.11E-01
(1.87E-01;2.38E-01)","1.54E-04
(4.74E-06;4.19E-04)","4.65E-02
(4.42E-02;4.85E-02)",0.139
14,"1.62E-05
(1.62E-05;1.62E-05)","1.23E-02
(1.23E-02;1.24E-02)","6.81E-04
(6.80E-04;6.83E-04)","2.09E-05
(4.52E-09;2.39E-05)",0.047
15,"3.70E-06
(3.68E-06;3.77E-06)","1.49E-05
(3.04E-07;5.07E-05)","9.39E-03
(9.33E-03;9.46E-03)","2.97E-05
(1.55E-06;7.29E-05)",0.078
16,"3.41E-05
(3.38E-05;3.60E-05)","1.14E-02
(1.09E-02;1.28E-02)","1.08E-02
(1.08E-02;1.10E-02)","6.99E-05
(2.19E-06;1.99E-04)",0.154
17,"1.35E-03
(1.27E-03;1.38E-03)","3.30E-01
(3.15E-01;3.46E-01)","9.84E-01
(9.51E-01;9.99E-01)","9.65E-01
(9.16E-01;9.97E-01)",0.066
18,"2.29E-05
(2.28E-05;2.29E-05)","2.90E-02
(2.85E-02;2.97E-02)","1.17E-02
(1.16E-02;1.17E-02)","6.95E-05
(1.99E-06;1.57E-04)",0.123
19,"5.71E-03
(5.63E-03;5.83E-03)","1.26E-01
(1.23E-01;1.28E-01)","5.95E-01
(5.81E-01;6.06E-01)","9.95E-01
(9.89E-01;1.00E+00)",0.132
20,"5.71E-03
(5.63E-03;5.83E-03)","1.26E-01
(1.23E-01;1.28E-01)","5.95E-01
(5.81E-01;6.06E-01)","9.95E-01
(9.89E-01;1.00E+00)",0.287
21,"5.71E-03
(5.63E-03;5.83E-03)","1.26E-01
(1.23E-01;1.28E-01)","5.95E-01
(5.81E-01;6.06E-01)","9.95E-01
(9.89E-01;1.00E+00)",0.279
22,"5.71E-03
(5.63E-03;5.83E-03)","1.26E-01
(1.23E-01;1.28E-01)","5.95E-01
(5.81E-01;6.06E-01)","9.95E-01
(9.89E-01;1.00E+00)",0.347
23,"5.71E-03
(5.63E-03;5.83E-03)","1.26E-01
(1.23E-01;1.28E-01)","5.95E-01
(5.81E-01;6.06E-01)","9.95E-01
(9.89E-01;1.00E+00)",0.095
24,"5.71E-03
(5.63E-03;5.83E-03)","1.26E-01
(1.23E-01;1.28E-01)","5.95E-01
(5.81E-01;6.06E-01)","9.95E-01
(9.89E-01;1.00E+00)",0.408
25,"5.71E-03
(5.63E-03;5.83E-03)","1.26E-01
(1.23E-01;1.28E-01)","5.95E-01
(5.81E-01;6.06E-01)","9.95E-01
(9.89E-01;1.00E+00)",0.232
