,first_wave,first_wave,first_wave,first_wave,second_wave,second_wave,second_wave,second_wave,MAE
,alpha,epsilon,Ki,Kp,alpha,epsilon,Ki,Kp,PI
00,"3.75E-05
(3.75E-05;3.75E-05)","5.06E-02
(5.06E-02;5.07E-02)","2.65E-07
(4.92E-08;4.99E-07)","1.19E-02
(1.19E-02;1.19E-02)","3.23E-05
(3.15E-05;3.28E-05)","6.17E-02
(4.85E-02;7.36E-02)","1.52E-05
(1.22E-06;3.65E-05)","1.17E-02
(1.09E-02;1.24E-02)",0.256
01,"6.85E-04
(6.79E-04;6.90E-04)","3.97E-01
(1.33E-01;6.88E-01)","4.92E-04
(1.26E-04;9.33E-04)","9.95E-01
(9.89E-01;1.00E+00)","7.59E-05
(7.36E-05;7.79E-05)","1.15E-02
(8.48E-03;1.41E-02)","7.68E-04
(6.28E-04;8.82E-04)","1.22E-01
(1.16E-01;1.28E-01)",0.077
02,"2.52E-04
(2.37E-04;2.69E-04)","1.95E-05
(2.04E-06;5.79E-05)","6.89E-03
(6.55E-03;7.24E-03)","1.12E-01
(1.07E-01;1.19E-01)","5.06E-05
(4.91E-05;5.18E-05)","9.03E-06
(7.31E-07;2.28E-05)","1.87E-03
(1.86E-03;1.89E-03)","4.60E-05
(4.51E-06;1.33E-04)",0.654
03,"3.19E-03
(3.07E-03;3.31E-03)","5.11E-01
(4.93E-01;5.33E-01)","9.89E-01
(9.65E-01;1.00E+00)","9.55E-01
(8.97E-01;1.00E+00)","4.79E-05
(4.62E-05;4.90E-05)","5.42E-02
(5.15E-02;5.62E-02)","4.62E-03
(4.44E-03;4.80E-03)","7.13E-04
(3.32E-05;2.14E-03)",0.093
04,"-1.95E-03
(-1.96E-03;-1.93E-03)","3.11E-02
(2.86E-02;3.19E-02)","2.91E-02
(2.74E-02;2.99E-02)","9.94E-01
(9.91E-01;9.98E-01)","-1.77E-03
(-2.39E-03;-1.35E-03)","4.11E-02
(3.95E-02;4.31E-02)","4.27E-02
(3.41E-02;5.47E-02)","3.58E-01
(2.48E-01;5.07E-01)",0.145
05,"2.82E-03
(1.28E-03;4.33E-03)","1.60E-01
(1.41E-01;1.96E-01)","4.38E-01
(2.53E-01;6.48E-01)","5.91E-01
(9.93E-03;9.99E-01)","3.28E-05
(3.20E-05;3.36E-05)","3.14E-02
(3.00E-02;3.25E-02)","5.66E-03
(5.51E-03;5.78E-03)","6.81E-04
(1.85E-04;1.67E-03)",0.073
06,"2.49E-03
(2.37E-03;2.59E-03)","2.41E-01
(2.30E-01;2.57E-01)","9.71E-01
(8.95E-01;9.99E-01)","9.85E-01
(9.57E-01;1.00E+00)","2.39E-05
(2.31E-05;2.49E-05)","1.57E-05
(1.18E-06;5.18E-05)","3.94E-03
(3.89E-03;3.99E-03)","2.15E-02
(2.00E-02;2.31E-02)",0.071
07,"-8.09E-06
(-8.16E-06;-8.08E-06)","7.83E-06
(7.86E-08;5.56E-05)","7.52E-03
(7.48E-03;7.53E-03)","2.08E-06
(2.62E-08;1.14E-05)","-8.27E-04
(-8.66E-04;-7.60E-04)","2.15E-01
(1.94E-01;2.40E-01)","3.45E-01
(3.15E-01;3.76E-01)","6.50E-03
(5.17E-04;1.15E-02)",0.190
08,"7.88E-04
(7.82E-04;7.97E-04)","1.37E-02
(4.66E-05;6.19E-02)","7.27E-05
(8.28E-06;2.36E-04)","9.91E-01
(9.82E-01;9.99E-01)","3.66E-05
(3.51E-05;3.77E-05)","1.09E-05
(1.46E-07;2.36E-05)","3.85E-03
(3.78E-03;3.92E-03)","4.63E-02
(4.44E-02;4.97E-02)",0.094
