,alpha,epsilon,Ki,Kp,MAE
00,"3.23E-05
(3.15E-05;3.28E-05)","6.17E-02
(4.85E-02;7.36E-02)","1.52E-05
(1.22E-06;3.65E-05)","1.17E-02
(1.09E-02;1.24E-02)",0.284
01,"7.59E-05
(7.36E-05;7.79E-05)","1.15E-02
(8.48E-03;1.41E-02)","7.68E-04
(6.28E-04;8.82E-04)","1.22E-01
(1.16E-01;1.28E-01)",0.028
02,"5.06E-05
(4.91E-05;5.18E-05)","9.03E-06
(7.31E-07;2.28E-05)","1.87E-03
(1.86E-03;1.89E-03)","4.60E-05
(4.51E-06;1.33E-04)",0.210
03,"4.79E-05
(4.62E-05;4.90E-05)","5.42E-02
(5.15E-02;5.62E-02)","4.62E-03
(4.44E-03;4.80E-03)","7.13E-04
(3.32E-05;2.14E-03)",0.083
04,"-1.77E-03
(-2.39E-03;-1.35E-03)","4.11E-02
(3.95E-02;4.31E-02)","4.27E-02
(3.41E-02;5.47E-02)","3.58E-01
(2.48E-01;5.07E-01)",0.119
05,"3.28E-05
(3.20E-05;3.36E-05)","3.14E-02
(3.00E-02;3.25E-02)","5.66E-03
(5.51E-03;5.78E-03)","6.81E-04
(1.85E-04;1.67E-03)",0.050
06,"2.39E-05
(2.31E-05;2.49E-05)","1.57E-05
(1.18E-06;5.18E-05)","3.94E-03
(3.89E-03;3.99E-03)","2.15E-02
(2.00E-02;2.31E-02)",0.076
07,"-8.27E-04
(-8.66E-04;-7.60E-04)","2.15E-01
(1.94E-01;2.40E-01)","3.45E-01
(3.15E-01;3.76E-01)","6.50E-03
(5.17E-04;1.15E-02)",0.183
08,"3.66E-05
(3.51E-05;3.77E-05)","1.09E-05
(1.46E-07;2.36E-05)","3.85E-03
(3.78E-03;3.92E-03)","4.63E-02
(4.44E-02;4.97E-02)",0.062
09,"5.44E-05
(5.11E-05;5.81E-05)","7.93E-03
(6.53E-03;9.75E-03)","4.31E-03
(4.23E-03;4.41E-03)","4.29E-02
(3.74E-02;4.89E-02)",0.107
10,"1.97E-05
(1.84E-05;2.05E-05)","2.74E-04
(2.41E-05;5.97E-04)","4.36E-03
(4.28E-03;4.45E-03)","7.01E-03
(5.24E-03;8.87E-03)",0.138
11,"7.88E-05
(7.35E-05;8.21E-05)","1.33E-04
(1.72E-05;2.71E-04)","2.24E-03
(2.16E-03;2.32E-03)","9.97E-02
(9.29E-02;1.05E-01)",0.102
12,"7.28E-05
(7.04E-05;7.41E-05)","5.04E-05
(1.95E-06;1.17E-04)","4.04E-03
(3.99E-03;4.09E-03)","1.68E-02
(1.58E-02;1.79E-02)",0.160
13,"5.85E-05
(5.72E-05;6.03E-05)","3.11E-02
(3.05E-02;3.21E-02)","5.37E-03
(5.31E-03;5.45E-03)","1.78E-04
(1.15E-05;4.23E-04)",0.162
14,"1.97E-05
(1.84E-05;2.07E-05)","9.55E-03
(7.42E-03;1.30E-02)","1.28E-03
(1.19E-03;1.45E-03)","2.19E-02
(1.57E-02;2.64E-02)",0.069
15,"2.31E-05
(2.31E-05;2.31E-05)","1.75E-02
(1.75E-02;1.75E-02)","1.56E-03
(1.56E-03;1.56E-03)","5.05E-07
(2.30E-08;2.38E-06)",0.066
16,"9.93E-06
(9.87E-06;9.98E-06)","1.35E-04
(6.86E-05;1.67E-04)","5.08E-03
(5.08E-03;5.09E-03)","2.92E-05
(1.52E-06;8.04E-05)",0.103
17,"2.39E-05
(2.32E-05;2.50E-05)","8.55E-04
(9.49E-06;1.70E-03)","4.48E-03
(4.39E-03;4.55E-03)","1.62E-02
(1.43E-02;1.88E-02)",0.091
18,"4.27E-06
(4.22E-06;4.32E-06)","2.49E-01
(1.61E-01;3.68E-01)","1.68E-05
(5.97E-06;2.68E-05)","1.10E-04
(1.13E-05;3.42E-04)",0.105
19,"4.25E-05
(4.24E-05;4.25E-05)","3.08E-02
(3.08E-02;3.11E-02)","3.13E-03
(3.13E-03;3.14E-03)","2.38E-04
(1.36E-05;2.95E-04)",0.101
20,"1.17E-05
(1.13E-05;1.23E-05)","1.01E-01
(3.80E-02;1.83E-01)","7.90E-05
(9.86E-07;1.60E-04)","1.38E-02
(1.26E-02;1.55E-02)",0.287
21,"2.20E-05
(2.20E-05;2.21E-05)","9.96E-05
(2.66E-05;1.39E-04)","1.01E-02
(1.01E-02;1.01E-02)","4.10E-05
(8.45E-06;8.30E-05)",0.143
22,"9.76E-05
(9.09E-05;1.04E-04)","6.43E-04
(4.25E-05;1.48E-03)","2.51E-04
(2.32E-04;2.68E-04)","8.20E-02
(7.59E-02;8.86E-02)",0.144
23,"2.94E-05
(2.86E-05;3.04E-05)","5.45E-06
(8.16E-07;1.12E-05)","3.13E-03
(3.04E-03;3.21E-03)","3.70E-02
(3.44E-02;3.88E-02)",0.108
24,"2.10E-05
(2.07E-05;2.13E-05)","9.30E-05
(3.05E-06;2.61E-04)","4.14E-04
(4.07E-04;4.23E-04)","1.88E-04
(2.19E-05;5.08E-04)",0.218
25,"2.39E-05
(2.22E-05;2.56E-05)","5.28E-02
(1.68E-02;8.35E-02)","5.05E-05
(1.53E-05;1.47E-04)","3.92E-02
(3.63E-02;4.21E-02)",0.153
AA,"1.25E-04
(1.13E-04;1.38E-04)","1.60E-01
(1.48E-01;1.73E-01)","1.82E-01
(1.63E-01;2.05E-01)","2.87E-02
(2.05E-03;6.29E-02)",0.039
