,reduction (data),reduction (model),QALY loss (data),QALY loss (model)
00,-59.15455694159165,-57.83285102275997,"9980, (7613; 14312)","9757, (7443; 13992)"
01,-18.373306718836513,-21.90384409189995,"6191, (3913; 14813)","7380, (4665; 17660)"
02,13.722382686184908,-10.518608921087457,"-569, (-426; -867)","436, (326; 665)"
03,-23.858954032968562,-30.42690058909947,"5993, (4489; 9139)","7642, (5725; 11654)"
04,32.06182995061775,35.17046904222936,"-13393, (-8676; -28507)","-14691, (-9517; -31271)"
05,-14.920418366742116,-24.36552115721411,"7222, (4293; 23038)","11794, (7010; 37622)"
06,-4.1725170626843,-12.01102410822309,"956, (739; 1361)","2751, (2128; 3919)"
07,11.184466055572596,1.1174867158206814,"-2084, (-1589; -2988)","-208, (-159; -299)"
08,-8.36507579134398,-20.107087382889155,"3930, (3112; 5356)","9448, (7481; 12875)"
09,-20.25282595939175,-27.15632361288779,"4537, (3064; 8734)","6083, (4109; 11710)"
10,-4.052032362999647,-13.079261220129778,"474, (309; 997)","1531, (999; 3218)"
11,-3.517159846496687,0.9388661253335817,"398, (311; 550)","-106, (-83; -147)"
12,-7.830591291160571,6.772400164134895,"234, (183; 323)","-202, (-158; -280)"
13,-25.63771502972787,-31.19727516961316,"777, (607; 1075)","945, (739; 1308)"
14,-8.529342335472801,-1.1395656485198802,"818, (566; 1471)","109, (76; 197)"
15,-6.045444829592372,0.09838430597528536,"142, (98; 255)","-2, (-2; -4)"
16,-5.729487577858405,-3.002879152564797,"161, (43; 0)","85, (22; 0)"
17,-9.198325663534835,0.9011910569566739,"981, (615; 2392)","-96, (-60; -234)"
18,-10.893068511994342,-1.165910146743443,"1677, (1196; 2804)","179, (128; 300)"
19,-21.880712287833493,-29.53049653228369,"2149, (1581; 3355)","2900, (2134; 4527)"
20,-21.315082604914583,1.017701249900771,"745, (548; 1163)","-36, (-26; -56)"
21,-16.73536197959613,-24.398899469131607,"1031, (787; 1479)","1504, (1147; 2156)"
22,-41.02228675814546,-46.234972789793694,"372, (284; 534)","419, (320; 601)"
23,-15.96046747800468,-26.915446726336278,"2388, (1821; 3424)","4027, (3071; 5774)"
24,-34.77784785177091,-0.8102357210845401,"178, (136; 255)","4, (3; 6)"
25,-26.488546931762112,-24.285049196501397,"759, (579; 1088)","696, (531; 997)"
AA,-10.344507159873196,-20.834248201363216,"0, (0; 0)","0, (0; 0)"
PP,5.780837393638838,-3.3059340195319087,"-649, (-495; -931)","371, (283; 533)"
