MDC,Reductions (UZG),Reductions (Belgium),QALYs lost (UZG),QALYs lost (Belgium)
00,60.05041562711066,-18.8438198658575,20153 (15372; 28900),-6324 (-4824; -9069)
01,17.20343225995431,15.5547158652188,11530 (7288; 27590),10425 (6589; 24945)
02,-2.540620448910886,25.0895805522377,-209 (-157; -319),2068 (1549; 3153)
03,21.989646777092617,-2.75423882130737,10986 (8230; 16754),-1376 (-1031; -2098)
04,-27.708863498579404,4.16050202688776,-23023 (-14915; -49006),3457 (2239; 7358)
05,13.318916995558965,-19.8749888675876,12823 (7622; 40907),-19136 (-11374; -61043)
06,4.079096615230526,-16.8890485137556,1859 (1438; 2648),-7696 (-5953; -10962)
07,-8.057103402738008,8.80197188759767,-2986 (-2277; -4281),3262 (2488; 4677)
08,9.497997672589406,20.4607058520853,8877 (7030; 12097),19123 (15143; 26060)
09,19.256063659727005,21.0255754048836,8580 (5795; 16517),9369 (6328; 18035)
10,7.106652653534084,22.0324921774462,1654 (1080; 3478),5128 (3347; 10784)
11,2.669720059938868,10.9504839563039,600 (469; 831),2462 (1925; 3408)
12,16.846432306120647,91.6742474073867,1000 (782; 1384),5442 (4255; 7531)
13,22.80419050316938,22.986136329652,1374 (1074; 1902),1385 (1083; 1917)
14,10.430131196514608,6.41820668407878,1990 (1377; 3579),1225 (847; 2202)
15,7.371263835495796,-2.43664188419169,343 (238; 618),-114 (-79; -204)
16,5.774521897664982,-27.5107091861018,324 (85; 562),-1542 (-406; -2679)
17,7.204625733786571,11.5231736210374,1528 (958; 3727),2444 (1531; 5962)
18,9.57186769100295,15.6504206354724,2931 (2091; 4900),4792 (3419; 8012)
19,23.2570425550132,25.4626766943242,4544 (3342; 7093),4975 (3659; 7765)
20,25.82791335949328,-7.96814327601237,1795 (1321; 2803),-554 (-407; -865)
21,15.885035031009053,20.2642939180715,1947 (1485; 2793),2484 (1895; 3562)
22,43.23590136589202,24.5398773006135,780 (595; 1119),443 (338; 635)
23,15.349048876948743,26.7228414600379,4568 (3484; 6550),7952 (6066; 11404)
24,41.461755528337015,13.0297565374211,421 (321; 604),132 (101; 190)
25,20.16078630539843,2.85574212526043,1149 (876; 1647),163 (124; 233)
AA,7.308870364833908,-0.0,0 (0; 0),-0 (-0; -0)
PP,0.5319920304469292,13.2373479231157,119 (91; 170),2958 (2256; 4242)
Total,10.05292649976549,8.858613664438,75659 (55095; 135565),52947 (41109; 65158)
