,alpha,epsilon,Ki,Kp,covid_capacity,MAE
00,"1.35E-03
(1.15E-03;1.51E-03)","5.85E-02
(4.82E-03;1.89E-01)","5.08E-03
(4.59E-04;9.10E-03)","1.28E-01
(4.19E-02;2.43E-01)","5.15E-01
(9.82E-02;9.74E-01)",0.430
01,"5.94E-04
(5.61E-04;6.35E-04)","5.91E-02
(6.68E-03;1.87E-01)","5.13E-03
(5.56E-04;1.08E-02)","2.09E-01
(1.08E-02;5.41E-01)","1.16E+01
(3.27E+00;1.93E+01)",0.086
02,"9.48E-04
(9.10E-04;9.93E-04)","2.10E-02
(1.67E-02;2.30E-02)","7.84E-03
(6.07E-03;8.97E-03)","3.41E-02
(3.15E-02;3.90E-02)","4.06E+02
(3.83E+02;4.37E+02)",0.533
03,"1.04E-03
(1.02E-03;1.07E-03)","2.57E-01
(2.20E-01;3.26E-01)","5.09E-03
(6.89E-04;1.10E-02)","2.69E-02
(6.00E-04;6.67E-02)","4.94E+00
(5.49E-01;1.10E+01)",0.106
04,"-1.64E-03
(-1.71E-03;-1.59E-03)","3.40E-01
(9.99E-02;8.89E-01)","2.08E-02
(5.76E-03;5.61E-02)","1.00E-02
(7.79E-03;1.24E-02)","8.31E+02
(7.21E+02;9.62E+02)",0.086
05,"8.81E-04
(8.43E-04;9.57E-04)","3.44E-02
(7.97E-03;6.76E-02)","2.03E-03
(2.88E-04;4.39E-03)","9.52E-02
(6.76E-03;2.62E-01)","5.43E+00
(2.06E+00;9.34E+00)",0.079
06,"5.06E-04
(4.72E-04;5.40E-04)","6.50E-02
(5.32E-02;8.77E-02)","7.01E-03
(3.42E-03;1.10E-02)","5.79E-01
(2.23E-01;8.93E-01)","5.79E+01
(4.52E+01;7.55E+01)",0.060
07,"2.41E-04
(1.89E-04;2.77E-04)","1.44E-01
(8.13E-02;2.01E-01)","6.23E-02
(4.01E-02;8.53E-02)","6.21E-03
(3.08E-03;8.47E-03)","8.19E+02
(6.83E+02;9.69E+02)",0.111
08,"7.35E-04
(6.89E-04;7.90E-04)","3.62E-02
(2.56E-02;5.64E-02)","3.96E-03
(2.00E-03;1.01E-02)","1.94E-01
(2.10E-02;5.43E-01)","3.00E+01
(2.46E+01;3.69E+01)",0.089
09,"9.90E-04
(9.63E-04;1.01E-03)","2.62E-01
(2.16E-01;3.13E-01)","4.36E-03
(2.07E-03;7.93E-03)","8.76E-02
(1.07E-02;1.86E-01)","5.35E+01
(2.85E+01;8.08E+01)",0.092
10,"6.86E-04
(6.16E-04;7.59E-04)","5.69E-02
(4.64E-02;6.84E-02)","9.20E-03
(3.94E-03;1.44E-02)","4.53E-02
(3.21E-02;5.73E-02)","1.23E+02
(1.07E+02;1.49E+02)",0.144
11,"3.55E-04
(3.33E-04;3.78E-04)","7.96E-02
(6.07E-02;1.04E-01)","8.18E-03
(4.61E-03;1.27E-02)","1.39E-02
(8.44E-03;1.88E-02)","2.70E+02
(2.39E+02;3.02E+02)",0.105
12,"7.41E-04
(6.98E-04;7.95E-04)","9.84E-03
(8.60E-03;1.13E-02)","2.28E-03
(2.06E-03;2.50E-03)","1.98E-01
(1.81E-01;2.25E-01)","5.54E+02
(5.02E+02;6.16E+02)",0.186
13,"7.77E-04
(6.89E-04;8.52E-04)","2.37E-01
(1.71E-01;3.15E-01)","4.51E-04
(1.45E-05;1.74E-03)","2.16E-01
(4.36E-02;5.14E-01)","9.44E+01
(5.52E+00;2.76E+02)",0.151
14,"4.34E-04
(3.88E-04;4.73E-04)","6.23E-02
(2.55E-02;1.18E-01)","3.91E-03
(1.25E-03;7.34E-03)","1.60E-01
(1.47E-02;2.98E-01)","4.05E+01
(1.81E+01;7.17E+01)",0.110
15,"1.91E-03
(1.68E-03;2.06E-03)","7.87E-01
(5.96E-01;9.16E-01)","3.83E-01
(2.68E-01;4.57E-01)","9.64E-01
(9.05E-01;9.98E-01)","7.36E+02
(6.96E+02;7.97E+02)",0.070
16,"5.17E-04
(4.91E-04;5.35E-04)","8.48E-02
(7.82E-02;9.21E-02)","3.76E-03
(3.38E-03;4.16E-03)","9.33E-01
(8.61E-01;9.97E-01)","7.69E+02
(6.64E+02;9.31E+02)",0.159
17,"3.16E-04
(2.84E-04;3.41E-04)","9.85E-02
(1.92E-02;1.77E-01)","1.29E-04
(6.39E-06;4.25E-04)","1.59E-01
(3.59E-02;3.07E-01)","4.31E+02
(5.45E+00;9.86E+02)",0.069
18,"1.49E-04
(1.41E-04;1.57E-04)","2.82E-02
(2.34E-02;3.18E-02)","7.89E-03
(6.49E-03;9.01E-03)","6.27E-01
(4.00E-01;9.30E-01)","3.65E+02
(3.49E+02;3.85E+02)",0.117
19,"1.05E-03
(9.74E-04;1.14E-03)","4.17E-02
(2.03E-02;7.28E-02)","6.91E-05
(4.37E-06;2.51E-04)","1.31E-01
(1.51E-02;3.11E-01)","1.60E+02
(1.04E+00;3.78E+02)",0.154
20,"4.25E-04
(3.99E-04;4.60E-04)","8.74E-02
(6.50E-02;1.54E-01)","1.41E-04
(3.60E-06;6.22E-04)","3.34E-01
(1.13E-02;6.95E-01)","2.48E+02
(4.17E+00;6.13E+02)",0.260
21,"5.67E-04
(5.11E-04;6.68E-04)","1.61E-01
(3.36E-02;2.07E-01)","4.91E-04
(2.12E-05;1.19E-03)","3.51E-01
(1.81E-02;9.12E-01)","4.87E+01
(4.46E+00;1.13E+02)",0.226
22,"1.29E-03
(1.02E-03;1.43E-03)","1.83E-01
(2.41E-02;3.41E-01)","5.89E-03
(1.02E-04;1.78E-02)","2.47E-01
(3.99E-02;4.68E-01)","1.72E+00
(3.34E-01;3.40E+00)",0.301
23,"1.01E-03
(9.82E-04;1.06E-03)","1.56E-01
(2.94E-02;2.86E-01)","9.46E-03
(1.21E-03;1.74E-02)","3.89E-02
(3.41E-04;1.03E-01)","4.90E+00
(3.07E-01;1.20E+01)",0.070
24,"7.76E-04
(6.17E-04;9.78E-04)","1.61E-01
(1.26E-02;3.70E-01)","1.79E-02
(2.25E-05;4.42E-02)","1.87E-01
(1.55E-02;5.06E-01)","1.15E+01
(7.88E-01;1.38E+02)",0.413
25,"9.13E-04
(7.76E-04;1.14E-03)","2.25E-01
(3.28E-02;3.30E-01)","7.97E-03
(2.69E-04;3.03E-02)","3.05E-01
(1.82E-02;7.69E-01)","3.52E+01
(2.03E-01;1.40E+02)",0.217
AA,"7.19E-04
(6.91E-04;7.52E-04)","1.53E-01
(4.92E-02;2.35E-01)","4.80E-03
(5.65E-04;1.05E-02)","1.76E-01
(1.78E-02;4.07E-01)","1.45E+01
(4.27E-02;2.71E+01)",0.103
PP,"3.37E-04
(3.04E-04;3.72E-04)","1.84E-01
(1.09E-01;2.46E-01)","2.29E-02
(1.41E-02;2.97E-02)","5.95E-05
(1.68E-05;1.32E-04)","8.29E+02
(7.02E+02;9.81E+02)",0.178
