,first_wave,first_wave,first_wave,first_wave,first_wave,second_wave,second_wave,second_wave,second_wave,second_wave,MAE
,alpha,epsilon,Ki,Kp,covid_capacity,alpha,epsilon,Ki,Kp,covid_capacity,constrained_PI
00,"1.35E-03
(1.15E-03;1.51E-03)","5.85E-02
(4.82E-03;1.89E-01)","5.08E-03
(4.59E-04;9.10E-03)","1.28E-01
(4.19E-02;2.43E-01)","5.15E-01
(9.82E-02;9.74E-01)","1.42E-03
(1.21E-03;1.59E-03)","5.37E-02
(1.20E-02;1.37E-01)","9.11E-03
(1.14E-03;2.56E-02)","4.23E-01
(3.91E-03;8.81E-01)","8.99E+00
(1.88E+00;2.25E+01)",0.416
01,"5.94E-04
(5.61E-04;6.35E-04)","5.91E-02
(6.68E-03;1.87E-01)","5.13E-03
(5.56E-04;1.08E-02)","2.09E-01
(1.08E-02;5.41E-01)","1.16E+01
(3.27E+00;1.93E+01)","5.59E-04
(4.99E-04;5.97E-04)","9.74E-02
(1.41E-02;1.78E-01)","5.98E-03
(6.28E-04;1.37E-02)","2.04E-01
(3.07E-02;3.91E-01)","2.01E+02
(1.13E+02;2.58E+02)",0.082
02,"9.48E-04
(9.10E-04;9.93E-04)","2.10E-02
(1.67E-02;2.30E-02)","7.84E-03
(6.07E-03;8.97E-03)","3.41E-02
(3.15E-02;3.90E-02)","4.06E+02
(3.83E+02;4.37E+02)","7.09E-04
(6.65E-04;7.34E-04)","6.94E-04
(6.06E-05;1.43E-03)","2.05E-03
(1.83E-03;2.33E-03)","6.73E-04
(1.04E-04;1.85E-03)","4.69E+02
(4.54E+02;4.83E+02)",0.473
03,"1.04E-03
(1.02E-03;1.07E-03)","2.57E-01
(2.20E-01;3.26E-01)","5.09E-03
(6.89E-04;1.10E-02)","2.69E-02
(6.00E-04;6.67E-02)","4.94E+00
(5.49E-01;1.10E+01)","6.46E-04
(5.98E-04;7.08E-04)","2.71E-02
(9.89E-04;5.39E-02)","4.40E-03
(6.04E-04;9.11E-03)","2.79E-01
(2.56E-02;5.71E-01)","1.38E+01
(5.25E-01;3.89E+01)",0.093
04,"-1.64E-03
(-1.71E-03;-1.59E-03)","3.40E-01
(9.99E-02;8.89E-01)","2.08E-02
(5.76E-03;5.61E-02)","1.00E-02
(7.79E-03;1.24E-02)","8.31E+02
(7.21E+02;9.62E+02)","-1.94E-03
(-2.28E-03;-1.67E-03)","1.47E-01
(1.05E-02;5.31E-01)","3.51E-02
(4.86E-03;8.05E-02)","5.32E-01
(7.08E-02;9.06E-01)","4.84E+01
(2.78E+00;1.34E+02)",0.176
05,"8.81E-04
(8.43E-04;9.57E-04)","3.44E-02
(7.97E-03;6.76E-02)","2.03E-03
(2.88E-04;4.39E-03)","9.52E-02
(6.76E-03;2.62E-01)","5.43E+00
(2.06E+00;9.34E+00)","4.50E-04
(4.38E-04;4.62E-04)","3.97E-02
(3.67E-02;4.26E-02)","4.63E-03
(4.13E-03;5.21E-03)","3.48E-01
(2.83E-01;4.32E-01)","4.48E+02
(4.45E+02;4.50E+02)",0.082
06,"5.06E-04
(4.72E-04;5.40E-04)","6.50E-02
(5.32E-02;8.77E-02)","7.01E-03
(3.42E-03;1.10E-02)","5.79E-01
(2.23E-01;8.93E-01)","5.79E+01
(4.52E+01;7.55E+01)","2.08E-04
(1.87E-04;2.28E-04)","7.21E-04
(2.92E-05;1.99E-03)","1.24E-02
(8.51E-03;1.71E-02)","5.56E-02
(4.97E-02;6.16E-02)","4.40E+02
(4.33E+02;4.48E+02)",0.069
07,"2.41E-04
(1.89E-04;2.77E-04)","1.44E-01
(8.13E-02;2.01E-01)","6.23E-02
(4.01E-02;8.53E-02)","6.21E-03
(3.08E-03;8.47E-03)","8.19E+02
(6.83E+02;9.69E+02)","2.66E-05
(-6.52E-04;7.59E-04)","6.04E-02
(3.74E-03;1.56E-01)","3.24E-02
(3.19E-03;9.54E-02)","1.04E-01
(3.40E-04;6.05E-01)","4.69E+02
(6.05E+00;9.72E+02)",0.145
08,"7.35E-04
(6.89E-04;7.90E-04)","3.62E-02
(2.56E-02;5.64E-02)","3.96E-03
(2.00E-03;1.01E-02)","1.94E-01
(2.10E-02;5.43E-01)","3.00E+01
(2.46E+01;3.69E+01)","3.09E-04
(2.84E-04;3.37E-04)","1.86E-02
(1.19E-02;2.53E-02)","1.20E-02
(7.42E-03;1.58E-02)","4.42E-02
(3.74E-02;5.31E-02)","4.37E+02
(4.29E+02;4.48E+02)",0.090
09,"9.90E-04
(9.63E-04;1.01E-03)","2.62E-01
(2.16E-01;3.13E-01)","4.36E-03
(2.07E-03;7.93E-03)","8.76E-02
(1.07E-02;1.86E-01)","5.35E+01
(2.85E+01;8.08E+01)","5.24E-04
(4.79E-04;5.55E-04)","2.07E-02
(1.74E-02;2.27E-02)","4.26E-03
(3.60E-03;4.71E-03)","3.70E-01
(2.78E-01;4.79E-01)","4.33E+02
(4.29E+02;4.39E+02)",0.125
10,"6.86E-04
(6.16E-04;7.59E-04)","5.69E-02
(4.64E-02;6.84E-02)","9.20E-03
(3.94E-03;1.44E-02)","4.53E-02
(3.21E-02;5.73E-02)","1.23E+02
(1.07E+02;1.49E+02)","2.53E-04
(2.30E-04;2.75E-04)","2.65E-04
(6.09E-06;7.33E-04)","4.58E-03
(3.94E-03;5.09E-03)","1.95E-01
(1.54E-01;2.36E-01)","4.34E+02
(4.29E+02;4.40E+02)",0.147
11,"3.55E-04
(3.33E-04;3.78E-04)","7.96E-02
(6.07E-02;1.04E-01)","8.18E-03
(4.61E-03;1.27E-02)","1.39E-02
(8.44E-03;1.88E-02)","2.70E+02
(2.39E+02;3.02E+02)","5.57E-04
(5.24E-04;5.96E-04)","7.55E-02
(5.21E-02;1.06E-01)","2.86E-03
(1.51E-03;4.63E-03)","1.69E-03
(4.68E-05;3.83E-03)","5.53E+02
(4.95E+02;6.08E+02)",0.127
12,"7.41E-04
(6.98E-04;7.95E-04)","9.84E-03
(8.60E-03;1.13E-02)","2.28E-03
(2.06E-03;2.50E-03)","1.98E-01
(1.81E-01;2.25E-01)","5.54E+02
(5.02E+02;6.16E+02)","6.52E-04
(6.18E-04;7.06E-04)","7.87E-04
(1.20E-04;1.74E-03)","5.78E-03
(5.33E-03;6.08E-03)","1.32E-01
(1.22E-01;1.43E-01)","4.34E+02
(4.29E+02;4.38E+02)",0.172
13,"7.77E-04
(6.89E-04;8.52E-04)","2.37E-01
(1.71E-01;3.15E-01)","4.51E-04
(1.45E-05;1.74E-03)","2.16E-01
(4.36E-02;5.14E-01)","9.44E+01
(5.52E+00;2.76E+02)","8.16E-04
(7.40E-04;8.88E-04)","4.17E-02
(3.72E-02;4.58E-02)","9.74E-03
(6.55E-03;1.34E-02)","3.06E-01
(2.51E-01;3.82E-01)","4.08E+02
(3.98E+02;4.20E+02)",0.143
14,"4.34E-04
(3.88E-04;4.73E-04)","6.23E-02
(2.55E-02;1.18E-01)","3.91E-03
(1.25E-03;7.34E-03)","1.60E-01
(1.47E-02;2.98E-01)","4.05E+01
(1.81E+01;7.17E+01)","3.39E-04
(3.04E-04;3.70E-04)","4.36E-02
(3.14E-02;5.96E-02)","5.82E-03
(2.82E-03;9.27E-03)","7.29E-02
(2.72E-02;1.18E-01)","3.15E+02
(2.95E+02;3.43E+02)",0.123
15,"1.91E-03
(1.68E-03;2.06E-03)","7.87E-01
(5.96E-01;9.16E-01)","3.83E-01
(2.68E-01;4.57E-01)","9.64E-01
(9.05E-01;9.98E-01)","7.36E+02
(6.96E+02;7.97E+02)","4.49E-04
(4.05E-04;4.86E-04)","4.00E-02
(2.62E-02;5.56E-02)","5.43E-03
(2.02E-03;9.48E-03)","1.06E-01
(1.52E-02;2.56E-01)","3.23E+02
(2.95E+02;3.64E+02)",0.093
16,"5.17E-04
(4.91E-04;5.35E-04)","8.48E-02
(7.82E-02;9.21E-02)","3.76E-03
(3.38E-03;4.16E-03)","9.33E-01
(8.61E-01;9.97E-01)","7.69E+02
(6.64E+02;9.31E+02)","1.30E-04
(1.20E-04;1.50E-04)","8.43E-04
(6.33E-05;2.17E-03)","5.92E-03
(4.98E-03;6.56E-03)","4.39E-01
(3.59E-01;5.56E-01)","4.29E+02
(4.27E+02;4.34E+02)",0.156
