,alpha,epsilon,Ki,Kp,covid_capacity,MAE
00,"1.42E-03
(1.21E-03;1.59E-03)","5.37E-02
(1.20E-02;1.37E-01)","9.11E-03
(1.14E-03;2.56E-02)","4.23E-01
(3.91E-03;8.81E-01)","8.99E+00
(1.88E+00;2.25E+01)",0.427
01,"5.59E-04
(4.99E-04;5.97E-04)","9.74E-02
(1.41E-02;1.78E-01)","5.98E-03
(6.28E-04;1.37E-02)","2.04E-01
(3.07E-02;3.91E-01)","2.01E+02
(1.13E+02;2.58E+02)",0.043
02,"7.09E-04
(6.65E-04;7.34E-04)","6.94E-04
(6.06E-05;1.43E-03)","2.05E-03
(1.83E-03;2.33E-03)","6.73E-04
(1.04E-04;1.85E-03)","4.69E+02
(4.54E+02;4.83E+02)",0.114
03,"6.46E-04
(5.98E-04;7.08E-04)","2.71E-02
(9.89E-04;5.39E-02)","4.40E-03
(6.04E-04;9.11E-03)","2.79E-01
(2.56E-02;5.71E-01)","1.38E+01
(5.25E-01;3.89E+01)",0.096
04,"-1.94E-03
(-2.28E-03;-1.67E-03)","1.47E-01
(1.05E-02;5.31E-01)","3.51E-02
(4.86E-03;8.05E-02)","5.32E-01
(7.08E-02;9.06E-01)","4.84E+01
(2.78E+00;1.34E+02)",0.205
05,"4.50E-04
(4.38E-04;4.62E-04)","3.97E-02
(3.67E-02;4.26E-02)","4.63E-03
(4.13E-03;5.21E-03)","3.48E-01
(2.83E-01;4.32E-01)","4.48E+02
(4.45E+02;4.50E+02)",0.044
06,"2.08E-04
(1.87E-04;2.28E-04)","7.21E-04
(2.92E-05;1.99E-03)","1.24E-02
(8.51E-03;1.71E-02)","5.56E-02
(4.97E-02;6.16E-02)","4.40E+02
(4.33E+02;4.48E+02)",0.053
07,"2.66E-05
(-6.52E-04;7.59E-04)","6.04E-02
(3.74E-03;1.56E-01)","3.24E-02
(3.19E-03;9.54E-02)","1.04E-01
(3.40E-04;6.05E-01)","4.69E+02
(6.05E+00;9.72E+02)",0.148
08,"3.09E-04
(2.84E-04;3.37E-04)","1.86E-02
(1.19E-02;2.53E-02)","1.20E-02
(7.42E-03;1.58E-02)","4.42E-02
(3.74E-02;5.31E-02)","4.37E+02
(4.29E+02;4.48E+02)",0.046
09,"5.24E-04
(4.79E-04;5.55E-04)","2.07E-02
(1.74E-02;2.27E-02)","4.26E-03
(3.60E-03;4.71E-03)","3.70E-01
(2.78E-01;4.79E-01)","4.33E+02
(4.29E+02;4.39E+02)",0.081
10,"2.53E-04
(2.30E-04;2.75E-04)","2.65E-04
(6.09E-06;7.33E-04)","4.58E-03
(3.94E-03;5.09E-03)","1.95E-01
(1.54E-01;2.36E-01)","4.34E+02
(4.29E+02;4.40E+02)",0.114
11,"5.57E-04
(5.24E-04;5.96E-04)","7.55E-02
(5.21E-02;1.06E-01)","2.86E-03
(1.51E-03;4.63E-03)","1.69E-03
(4.68E-05;3.83E-03)","5.53E+02
(4.95E+02;6.08E+02)",0.100
12,"6.52E-04
(6.18E-04;7.06E-04)","7.87E-04
(1.20E-04;1.74E-03)","5.78E-03
(5.33E-03;6.08E-03)","1.32E-01
(1.22E-01;1.43E-01)","4.34E+02
(4.29E+02;4.38E+02)",0.141
13,"8.16E-04
(7.40E-04;8.88E-04)","4.17E-02
(3.72E-02;4.58E-02)","9.74E-03
(6.55E-03;1.34E-02)","3.06E-01
(2.51E-01;3.82E-01)","4.08E+02
(3.98E+02;4.20E+02)",0.157
14,"3.39E-04
(3.04E-04;3.70E-04)","4.36E-02
(3.14E-02;5.96E-02)","5.82E-03
(2.82E-03;9.27E-03)","7.29E-02
(2.72E-02;1.18E-01)","3.15E+02
(2.95E+02;3.43E+02)",0.072
15,"4.49E-04
(4.05E-04;4.86E-04)","4.00E-02
(2.62E-02;5.56E-02)","5.43E-03
(2.02E-03;9.48E-03)","1.06E-01
(1.52E-02;2.56E-01)","3.23E+02
(2.95E+02;3.64E+02)",0.102
16,"1.30E-04
(1.20E-04;1.50E-04)","8.43E-04
(6.33E-05;2.17E-03)","5.92E-03
(4.98E-03;6.56E-03)","4.39E-01
(3.59E-01;5.56E-01)","4.29E+02
(4.27E+02;4.34E+02)",0.103
17,"2.65E-04
(2.36E-04;2.92E-04)","5.35E-04
(2.25E-05;1.11E-03)","6.39E-03
(5.83E-03;7.18E-03)","2.85E-01
(2.53E-01;3.13E-01)","4.30E+02
(4.28E+02;4.37E+02)",0.056
18,"2.17E-04
(1.54E-04;2.64E-04)","3.94E-02
(2.74E-03;1.45E-01)","3.90E-04
(4.88E-05;1.43E-03)","4.13E-01
(5.79E-02;9.36E-01)","1.52E+02
(9.12E+00;2.71E+02)",0.164
19,"9.41E-04
(8.82E-04;9.96E-04)","9.70E-02
(8.00E-02;1.16E-01)","2.76E-02
(1.97E-02;3.60E-02)","1.57E-01
(9.56E-02;2.68E-01)","3.86E+02
(3.81E+02;3.94E+02)",0.135
20,"5.00E-04
(4.06E-04;5.98E-04)","5.54E-02
(1.28E-02;1.20E-01)","2.50E-03
(1.33E-04;6.85E-03)","1.26E-01
(1.13E-02;2.88E-01)","6.91E+01
(4.02E+00;1.82E+02)",0.288
21,"4.54E-04
(4.17E-04;4.87E-04)","1.92E-02
(1.25E-02;2.38E-02)","5.02E-03
(4.67E-03;5.60E-03)","8.65E-01
(6.41E-01;9.93E-01)","9.38E+02
(8.72E+02;9.97E+02)",0.144
22,"9.89E-04
(9.28E-04;1.04E-03)","8.21E-02
(1.95E-03;2.16E-01)","1.89E-03
(1.14E-04;4.20E-03)","8.24E-02
(1.39E-02;1.77E-01)","5.74E+00
(7.77E-01;1.45E+01)",0.170
23,"2.37E-04
(2.13E-04;2.61E-04)","1.43E-03
(1.34E-04;2.61E-03)","5.32E-03
(4.49E-03;6.40E-03)","1.52E-01
(1.27E-01;1.80E-01)","4.31E+02
(4.26E+02;4.38E+02)",0.081
24,"8.12E-04
(7.35E-04;8.78E-04)","7.54E-03
(1.46E-03;1.83E-02)","3.34E-03
(1.66E-03;5.95E-03)","1.47E-01
(3.62E-03;3.07E-01)","2.51E+02
(2.39E+02;2.69E+02)",0.254
25,"4.86E-04
(4.15E-04;5.43E-04)","6.57E-02
(1.98E-03;2.21E-01)","8.32E-03
(9.65E-04;2.62E-02)","1.20E-01
(1.48E-02;3.71E-01)","1.21E+01
(1.92E+00;2.59E+01)",0.149
AA,"1.36E-04
(1.17E-04;1.57E-04)","8.02E-03
(1.19E-03;2.14E-02)","3.24E-03
(1.98E-03;5.51E-03)","2.24E-01
(5.44E-03;5.27E-01)","2.67E+02
(2.57E+02;2.74E+02)",0.033
PP,"8.20E-04
(6.69E-04;9.38E-04)","1.36E-02
(8.77E-04;2.81E-02)","7.75E-02
(6.32E-02;9.83E-02)","1.29E-02
(8.94E-03;1.54E-02)","9.49E+02
(8.85E+02;9.94E+02)",0.064
