disease_group,model,mean,lower,upper
00,queuing_model,0.6381053246455904,0.6318611218197466,0.6443495274714343
00,constrained_PI,0.29132502257080284,0.28285105312660147,0.29979899201500443
00,PI,0.47343736891271143,0.4712893731345668,0.475585364690855
00,data,0.6548174614352859,0.5661105925886649,0.7808361167743517
01,queuing_model,0.10969781956059631,0.10560703113232009,0.11378860798887365
01,constrained_PI,0.10041402605238091,0.09814946107781841,0.10267859102694483
01,PI,0.10080167870107828,0.10049873841975658,0.10110461898240018
01,data,0.1676782364066971,0.15733649695609125,0.17942213359759795
02,queuing_model,0.008488707842148268,-0.0037391362570011978,0.020716551941297734
02,constrained_PI,-0.4826335215348849,-0.4907004672706067,-0.4745665757991665
02,PI,-0.013583360924676378,-0.019929635968651386,-0.007237085880701368
02,data,-0.11216242997314974,-0.0849216942990514,-0.1666795691574586
03,queuing_model,0.16617605630269505,0.1592308883775637,0.1731212242278242
03,constrained_PI,0.1420832982097563,0.1336573926788565,0.15050920374065682
03,PI,0.14736561904292014,0.14596349559393385,0.14876774249190647
03,data,0.1718058696856384,0.15371220119989418,0.19480623833029337
04,queuing_model,-0.30832066102297234,-0.32113491742599437,-0.2955064046199505
04,constrained_PI,-0.31973185352487254,-0.32936190804841436,-0.31010179900133067
04,PI,-0.2704078958663637,-0.27407470853406685,-0.26674108319865975
04,data,-0.29623110285736226,-0.26450002154631014,-0.33571053439138376
05,queuing_model,0.06929250224265468,0.06645717733663406,0.0721278271486731
05,constrained_PI,0.05820171641830246,0.056752203523173235,0.05965122931343388
05,PI,0.07304565197085525,0.07201774854065385,0.07407355540105572
05,data,0.07667678912575984,0.07132233398441913,0.08308025828707186
06,queuing_model,0.014474022117503234,0.01364013397631131,0.015307910258694747
06,constrained_PI,0.010872347899687333,0.01007932227659384,0.011665373522778154
06,PI,0.027965286039842812,0.027374305837227997,0.0285562662424605
06,data,0.009835392005916089,0.009063988437597783,0.010736351381834172
07,queuing_model,0.0006989079968351093,0.0005711840302897036,0.000826631963380349
07,constrained_PI,-0.1343546625353191,-0.20107926334502346,-0.06763006172561012
07,PI,-0.08689210598635654,-0.08772959354623772,-0.08605461842647784
07,data,-0.1566190651509091,-0.13985144862777843,-0.17767890927673882
08,queuing_model,0.055243154346307624,0.05182629863041746,0.05866001006219614
08,constrained_PI,0.018518522068541557,0.014192582308989711,0.022844461828093812
08,PI,0.040855700765433656,0.04043524199526383,0.041276159535603076
08,data,0.08010563574672663,0.07471264302425669,0.08629177621944215
09,queuing_model,0.0866801630132116,0.08084106370600053,0.09251926232042335
09,constrained_PI,0.06084053359880673,0.0579318048940739,0.06374926230354261
09,PI,0.07233620462377846,0.07103227416452719,0.07364013508303185
09,data,0.1716895695071871,0.15170040772600518,0.19733835104416733
10,queuing_model,0.035901233723677164,0.03031844347853586,0.04148402396881491
10,constrained_PI,0.016948528796296006,0.014360089942057648,0.019536967650535392
10,PI,0.022695752096288737,0.021784180064577705,0.023607324127998514
10,data,0.05273742627223481,0.04514613256687704,0.0631619298046794
11,queuing_model,0.048800336007614374,0.04426286435035303,0.05333780766487592
11,constrained_PI,-0.034669268287725555,-0.037715960264958714,-0.031622576310490785
11,PI,0.02393861492620979,0.02317691280347189,0.02470031704894951
11,data,-0.005521877536606907,-0.004917773061239381,-0.006300571184291477
12,queuing_model,0.08254888252511228,0.06324257941172941,0.10185518563849322
12,constrained_PI,0.013679330044545262,0.010136222328631034,0.01722243776046107
12,PI,0.037522135680578106,0.0362893869375793,0.038754884423579106
12,data,0.10403955750921758,0.08228310555723603,0.13883027558735256
13,queuing_model,0.1918030592970702,0.178770107306375,0.20483601128776188
13,constrained_PI,0.06614531701016774,0.06386968338791896,0.068420950632417
13,PI,0.11826341057412915,0.11697666136722683,0.11955015978103306
13,data,0.1534805536457637,0.12583464513279302,0.19662505401936892
14,queuing_model,0.02083950234279067,0.019090925462315358,0.0225880792232639
14,constrained_PI,0.03250302759734934,0.030715227616403534,0.034290827578296254
14,PI,0.05186708668554291,0.05170187378722948,0.0520322995838537
14,data,-0.002164161716131789,-0.0018986300012936467,-0.0025135508918249735
15,queuing_model,0.04858581500738891,0.04495872457292043,0.052212905441859164
15,constrained_PI,0.028563863672418886,0.023484490209016325,0.03364323713582164
15,PI,0.0521511298632877,0.05204627141844888,0.05225598830812396
15,data,0.0720119940246852,0.06589246355310915,0.07939561273364598
16,queuing_model,0.03125713679214156,0.0047033116969878675,0.057810961887297514
16,constrained_PI,0.008351758666239854,0.00759285000260118,0.009110667329877682
16,PI,0.00024481792212388884,-0.00015940826971253577,0.0006490441139597483
16,data,0.003181890207862258,0.0026777163988624406,0.0039157162808184124
17,queuing_model,0.029456835958395006,0.02682344710746681,0.03209022480932187
17,constrained_PI,0.015265959771649707,0.013571822274841957,0.01696009726845803
17,PI,0.02089709146581188,0.0202768895207026,0.021517293410920978
17,data,0.048820589845651734,0.044097598509089765,0.055105610375826994
18,queuing_model,0.01847357246544722,0.011146576660683496,0.025800568270211065
18,constrained_PI,0.02387716540277428,0.01141735209972047,0.03633697870582597
