disease_group,model,mean,lower,upper
00,queuing_model,0.602864021113558,0.5759695110422505,0.6288740498638358
00,constrained_PI,0.2666053310133107,0.22370983326356642,0.3002586673748994
00,PI,0.2936302764088661,0.2920851876772107,0.2948117498199698
00,data,0.5949564939283565,0.5143174086043186,0.7097078858820077
01,queuing_model,0.1412625867452091,0.1165825396006636,0.1634601650846239
01,constrained_PI,0.10620087867086023,0.09698447046841537,0.11560431321252167
01,PI,0.11778231481215812,0.11622587641829725,0.11919254213318535
01,data,0.16275495002295245,0.15269608950483476,0.17419370594133107
02,queuing_model,0.006994618253357663,-0.01552406656878405,0.05186096196944537
02,constrained_PI,-0.01416810665783546,-0.03395398326669014,0.007254693081702798
02,PI,0.10413981875278798,0.09523223604586548,0.11255393724093586
02,data,-0.03734949015475936,-0.028285056854326987,-0.055496280352898435
03,queuing_model,0.2037597307906704,0.16830637492941244,0.23765919130212843
03,constrained_PI,0.15901101678077936,0.1484867525792389,0.17025688815865517
03,PI,0.16978475397999157,0.1650887946462831,0.1729045112857056
03,data,0.21029883902698215,0.18804570978325624,0.23855573842235728
04,queuing_model,-0.34366108520015876,-0.37537267419869597,-0.31003385864326405
04,constrained_PI,-0.29517287238179685,-0.33293037582178336,-0.24252480809479057
04,PI,-0.2629803277920452,-0.2741048481230992,-0.250888020179017
04,data,-0.2908520441145201,-0.25965593162663997,-0.3296951823808241
05,queuing_model,0.11871597878721989,0.09248498840537167,0.1448987073687103
05,constrained_PI,0.10517105997686098,0.09792419726862399,0.1142588850310109
05,PI,0.10057609862622151,0.09354296574457639,0.10803541456107578
05,data,0.12449765153898729,0.11579614485128681,0.13491990547389826
06,queuing_model,0.03651382064230704,0.011960741960670354,0.06391998113288476
06,constrained_PI,0.03648898582718253,0.02778330007213244,0.0445175897772742
06,PI,0.05104934737941428,0.049444322426584246,0.05254084405130022
06,data,0.03193335254641879,0.02942245983516826,0.034862086990289705
07,queuing_model,-0.000701324517328405,-0.004715779147576649,0.0032427211221914853
07,constrained_PI,-0.07785259215689722,-0.12314197330234576,-0.02777200753825733
07,PI,-0.06551473640670756,-0.06801416406257915,-0.06299686165790615
07,data,-0.09096681870137877,-0.08121308066491895,-0.10326501580153334
08,queuing_model,0.10564013198415753,0.08464118125254239,0.12540881430591957
08,constrained_PI,0.06064656353865129,0.04647859955925021,0.07589904422124438
08,PI,0.0806083159174836,0.07803449721200761,0.08257612086606733
08,data,0.08696881691245263,0.08109411372640338,0.09372176411785822
09,queuing_model,0.15268957653501938,0.1150088628821244,0.18890338465973416
09,constrained_PI,0.12029500978031217,0.11213009144452914,0.1278931710037013
09,PI,0.11967003592512973,0.11743036954991316,0.12261710109998933
09,data,0.18634946598185223,0.16463771186045129,0.21426905196123325
10,queuing_model,0.055250473673847576,0.026697221218476837,0.091802546713663
10,constrained_PI,0.03987548851952153,0.026435552825958445,0.0523633149921579
10,PI,0.03645710958414818,0.034957531270218126,0.03787616300912206
10,data,0.062230305476990565,0.05326427276424697,0.07456794747907346
11,queuing_model,0.05805240067035716,0.028531375289808977,0.08021336147762284
11,constrained_PI,0.053194783540973914,0.04435099139264061,0.0619165277317814
11,PI,0.05862591323441156,0.05656896592311224,0.060209500117605785
11,data,0.016090669158832987,0.014332037617831419,0.018363025856796063
12,queuing_model,0.10291716708203219,0.04268893487639516,0.2022084817436863
12,constrained_PI,0.03519868162824835,0.0198708102082797,0.04871864398245851
12,PI,0.04808419960367914,0.041829995599916424,0.05276428953892557
12,data,0.16311188094548143,0.1290936019193905,0.21752437678085662
13,queuing_model,0.19171190939866803,0.10830362940547189,0.2531794302967236
13,constrained_PI,0.1231540973700715,0.10786095991840566,0.13649926428099096
13,PI,0.15240824639431275,0.14878323876275273,0.15619165123723444
13,data,0.22400630007308975,0.18354860736031078,0.2872447651461475
14,queuing_model,0.02836880514874617,0.015591683552815969,0.0399185668762048
14,constrained_PI,0.06349344011562245,0.05157620480543808,0.07215935109405146
14,PI,0.08362626081819712,0.08218640838936817,0.08576683638812703
14,data,0.09366664082279635,0.08220487944505608,0.1087526046354308
15,queuing_model,0.04976803383859227,0.03665390378044531,0.06641000169513663
15,constrained_PI,0.04720675689591541,0.041648568616832915,0.05260118886148546
15,PI,0.06283361833446843,0.06248130963799077,0.0631298028313953
15,data,0.06402718949194446,0.05857510767271198,0.07062032076881489
16,queuing_model,0.016465887290311832,-0.012934791899824773,0.056854098191546215
16,constrained_PI,0.01922463114243941,0.014366536777877914,0.024857188245987025
16,PI,0.0007780737369604959,-0.0004907202860141902,0.002579507507641638
16,data,0.047270611196992184,0.03977402018364968,0.058205251518568944
17,queuing_model,0.028458960118911518,-0.0005294824318847583,0.048064987627975155
17,constrained_PI,0.03319380921953056,0.02539179636984696,0.039341922312644856
17,PI,0.035534148684500125,0.033883216264469974,0.03695979176085669
17,data,0.06586052230618261,0.05947919407426414,0.07440502919593345
18,queuing_model,0.02036751594713374,-0.0034997863270430887,0.04926352161682713
18,constrained_PI,0.029247071714870936,0.02072858755231737,0.03548181077113586
18,PI,0.028117054521837177,0.02755029276060434,0.02870983927278452
18,data,0.08386308935973999,0.07023967879982358,0.10324561656901853
19,queuing_model,0.2018400422276349,0.13598086107148202,0.25499969599478506
19,constrained_PI,0.14587432943908288,0.13129233373829297,0.15880099683727214
19,PI,0.16116888631055276,0.15997785273551465,0.16271830552007446
19,data,0.22881827398752572,0.1924209020469099,0.28122070637563507
20,queuing_model,0.1648537567487056,0.10240534869862469,0.2661142277701018
20,constrained_PI,0.09146914693409888,0.07666485789030184,0.10556541381263483
20,PI,0.1191684369290831,0.11727648921474097,0.12148158198660382
20,data,0.2548935216022226,0.17389418523139166,0.44985492315222614
21,queuing_model,0.00166333010376864,-0.007606092012427547,0.016801407961468874
21,constrained_PI,0.04855185188474999,0.03920292992396423,0.05961520869958047
21,PI,0.07414003501750377,0.0730579776208336,0.07548373544885478
21,data,0.14681107904945073,0.12546470377682567,0.17608358247185502
22,queuing_model,0.3871866941137795,0.31848250306189807,0.4543030676308644
22,constrained_PI,0.22332065499458711,0.2002132795485694,0.24130132806855462
22,PI,0.19926187517980062,0.19574682266729296,0.20329850117704576
22,data,0.42518694490294684,0.34702866936882326,0.5462212357395314
23,queuing_model,0.11159927724056054,0.07534434537831093,0.14242496958533385
23,constrained_PI,0.0953363884176767,0.08787306369487553,0.10306848689637182
23,PI,0.10270256226133546,0.10095097565422653,0.10484788509497285
23,data,0.14558671499679626,0.12948015945337218,0.16655131054513825
24,queuing_model,0.3390943512453563,0.22199095262049906,0.4641365721318416
24,constrained_PI,0.1354287129303862,0.10921656171946752,0.159895014740588
24,PI,0.16096443437147703,0.1585026266374791,0.1637339746246747
24,data,0.4069379524999638,0.30120584282761176,0.6098440290917546
25,queuing_model,0.23123275215159514,0.16027464249604698,0.2858102716370178
25,constrained_PI,0.12729557691074941,0.1086825993851099,0.15229858290500004
25,PI,0.12952820183056696,0.12694757168773443,0.13266077546964386
25,data,0.19383426226945544,0.15704206433402382,0.2541865578513029
AA,queuing_model,0.06074447029668321,0.034907809972905324,0.08712240449921962
AA,constrained_PI,0.07054901429000505,0.06516130142819967,0.0765720442652994
AA,PI,0.0942938334423293,0.09270483899535818,0.09634304039237325
AA,data,0.06213504502060902,0.057344108480268496,0.06751295912950922
PP,queuing_model,-0.021006364227565754,-0.023425392660732184,-0.013348171489207751
PP,constrained_PI,-0.08955096455007687,-0.10326522985210519,-0.07761377526814547
PP,PI,0.024004295701048423,0.022060599786183487,0.025859711435102316
PP,data,-0.0074861854977527785,-0.00653977115028451,-0.00870880896354771
total,queuing_model,0.08073109937688966,0.05246477669371116,0.10809078973159857
total,constrained_PI,0.05747365920642573,0.044717701457509154,0.0707631412232383
total,PI,0.06950011172877299,0.06645415373041545,0.07250670367019449
total,data,0.09428349126352174,0.10654910294975925,0.08456623418481928
total (no negatives),queuing_model,0.10515494231827227,0.07624905118729508,0.13297048665688596
total (no negatives),constrained_PI,0.0812766826501287,0.07093986775286402,0.09126032648741114
total (no negatives),PI,0.09063845395170218,0.08798671649441529,0.09319774863695005
total (no negatives),data,0.12204580367041368,0.13743473706639278,0.10978630955102155
