MDC,epsilon,sigma,alpha,MAE_all,MAE_calibration
00,2.54E-01 (1.48E-01; 3.87E-01),5.17E-01 (3.67E-01; 6.85E-01),7.14E+00 (6.83E+00; 7.42E+00),0.086,0.068
01,3.50E-01 (2.27E-01; 4.84E-01),1.50E+00 (1.29E+00; 1.67E+00),7.14E+00 (6.83E+00; 7.42E+00),0.092,0.066
02,7.18E-01 (4.01E-01; 9.88E-01),2.10E+00 (1.80E+00; 2.49E+00),7.14E+00 (6.83E+00; 7.42E+00),0.391,0.435
03,8.93E-01 (7.04E-01; 9.94E-01),1.54E+00 (1.38E+00; 1.68E+00),7.14E+00 (6.83E+00; 7.42E+00),0.175,0.156
04,9.59E-05 (3.98E-06; 2.68E-04),7.76E+00 (3.92E+00; 9.87E+00),7.14E+00 (6.83E+00; 7.42E+00),0.066,0.064
05,8.25E-01 (5.88E-01; 9.92E-01),1.68E+00 (1.52E+00; 1.84E+00),7.14E+00 (6.83E+00; 7.42E+00),0.133,0.083
06,4.59E-01 (1.91E-01; 8.71E-01),1.92E+00 (1.58E+00; 2.32E+00),7.14E+00 (6.83E+00; 7.42E+00),0.144,0.090
07,9.59E-05 (4.15E-06; 2.68E-04),8.12E+00 (5.20E+00; 9.90E+00),7.14E+00 (6.83E+00; 7.42E+00),0.155,0.147
08,8.27E-01 (6.04E-01; 9.86E-01),1.78E+00 (1.61E+00; 1.92E+00),7.14E+00 (6.83E+00; 7.42E+00),0.187,0.125
09,8.76E-01 (6.82E-01; 9.91E-01),1.60E+00 (1.42E+00; 1.76E+00),7.14E+00 (6.83E+00; 7.42E+00),0.143,0.109
10,8.25E-01 (5.35E-01; 9.89E-01),2.01E+00 (1.77E+00; 2.30E+00),7.14E+00 (6.83E+00; 7.42E+00),0.237,0.200
11,6.84E-01 (3.03E-01; 9.35E-01),7.40E+00 (2.61E+00; 9.85E+00),7.14E+00 (6.83E+00; 7.42E+00),0.192,0.180
12,9.59E-05 (4.11E-06; 2.68E-04),4.69E-01 (2.89E-01; 6.59E-01),7.14E+00 (6.83E+00; 7.42E+00),0.340,0.319
13,5.19E-01 (2.76E-01; 7.83E-01),1.32E+00 (1.06E+00; 1.58E+00),7.14E+00 (6.83E+00; 7.42E+00),0.201,0.176
14,8.04E-01 (5.26E-01; 9.91E-01),5.13E+00 (2.93E+00; 8.14E+00),7.14E+00 (6.83E+00; 7.42E+00),0.168,0.170
15,6.41E-01 (1.99E-01; 9.81E-01),7.72E+00 (4.71E+00; 9.81E+00),7.14E+00 (6.83E+00; 7.42E+00),0.127,0.084
16,3.50E-01 (2.20E-01; 5.15E-01),5.57E+00 (1.74E+00; 9.80E+00),7.14E+00 (6.83E+00; 7.42E+00),0.158,0.165
17,1.92E-01 (8.79E-02; 2.94E-01),9.59E+00 (8.89E+00; 9.98E+00),7.14E+00 (6.83E+00; 7.42E+00),0.100,0.101
18,6.48E-01 (2.75E-01; 9.39E-01),4.65E+00 (2.50E+00; 9.34E+00),7.14E+00 (6.83E+00; 7.42E+00),0.162,0.160
19,8.68E-01 (6.61E-01; 9.90E-01),1.54E+00 (1.36E+00; 1.73E+00),7.14E+00 (6.83E+00; 7.42E+00),0.188,0.129
20,9.59E-05 (4.10E-06; 2.68E-04),7.72E+00 (4.59E+00; 9.84E+00),7.14E+00 (6.83E+00; 7.42E+00),0.375,0.377
21,1.55E-01 (8.09E-02; 2.40E-01),1.01E+00 (7.05E-01; 1.26E+00),7.14E+00 (6.83E+00; 7.42E+00),0.221,0.192
22,7.83E-01 (4.65E-01; 9.88E-01),1.11E+00 (8.83E-01; 1.32E+00),7.14E+00 (6.83E+00; 7.42E+00),0.192,0.187
23,8.68E-01 (6.91E-01; 9.92E-01),1.62E+00 (1.44E+00; 1.78E+00),7.14E+00 (6.83E+00; 7.42E+00),0.179,0.120
24,7.47E-01 (4.37E-01; 9.77E-01),7.00E+00 (2.18E+00; 9.78E+00),7.14E+00 (6.83E+00; 7.42E+00),0.395,0.400
25,7.03E-01 (3.50E-01; 9.78E-01),1.75E+00 (1.43E+00; 2.08E+00),7.14E+00 (6.83E+00; 7.42E+00),0.160,0.151
AA,7.59E-01 (5.06E-01; 9.78E-01),1.74E+00 (1.57E+00; 1.91E+00),7.14E+00 (6.83E+00; 7.42E+00),0.135,0.071
PP,5.16E-01 (1.78E-01; 8.27E-01),6.16E+00 (3.28E+00; 9.53E+00),7.14E+00 (6.83E+00; 7.42E+00),0.179,0.150
