disease_group,model,mean,lower,upper
00,queuing_model,42713.124120038236,32261.29977620146,61849.97708681463
00,constrained_PI,19500.545392331307,14441.690273095704,28777.17759729433
00,PI,31690.676006605107,24062.894871967997,45650.60212643332
00,data,43831.79143942753,28904.236869943168,74951.0845776045
01,queuing_model,14664.000830884532,8923.10979711931,36397.37314831176
01,constrained_PI,13422.977479066409,8292.993452567873,32843.63046532774
01,PI,13474.797458582525,8491.49216464447,32340.166640232837
01,data,22414.60958693729,13293.914452289437,57391.46003312189
02,queuing_model,139.5317769620574,-46.042153431484806,519.3005645193938
02,constrained_PI,-7933.211288866225,-6042.279459773997,-11895.931881563158
02,PI,-223.27432186162002,-245.40516687086634,-181.41159754638832
02,data,-1843.651996694853,-1045.6900764869133,-4178.146759295865
03,queuing_model,16559.00862929605,11886.289647932746,26307.89248762692
03,constrained_PI,14158.228408360907,9977.275760726256,22871.718751230666
03,PI,14684.5978397051,10895.903453985356,22607.08236416814
03,data,17120.00478279529,11474.329914877868,29603.196238770008
04,queuing_model,-51095.82490671005,-34476.941971681175,-104240.8357603104
04,constrained_PI,-52986.92196170245,-35360.18905226719,-109389.40812551217
04,PI,-44812.80772666139,-29424.573004310685,-94093.77600461512
04,data,-49092.307058830644,-28396.63767320496,-118422.97199448136
05,queuing_model,13306.523304916174,7585.886092301221,44184.69763705653
05,constrained_PI,11176.714230843938,6478.092640515584,36541.6737906167
05,PI,14027.256035136414,8220.608502315044,45376.628933395135
05,data,14724.558190655078,8141.229030872811,50894.03406616224
06,queuing_model,1315.4622367751263,958.9008729293262,1981.6824609572768
06,constrained_PI,988.1263805604274,708.5759528716559,1510.1385963165415
06,PI,2541.6071239480484,1924.412605384895,3696.7457351644757
06,data,893.8833078068,637.1980246035866,1389.8722208650663
07,queuing_model,51.654430950811346,32.19992852355175,87.6090511034144
07,constrained_PI,-9929.795724583091,-11335.642391812353,-7167.646300073979
07,PI,-6421.964420449687,-4945.668106575605,-9120.33867233998
07,data,-11575.29849859039,-7883.985564942382,-18830.968716923908
08,queuing_model,10297.986888003898,7650.501806906774,14902.020632605741
08,constrained_PI,3452.0747358409685,2095.082602249967,5803.419418818339
08,PI,7615.992891086019,5968.975213790736,10485.817857550755
08,data,14932.651770818806,11028.941397724748,21921.60942834624
09,queuing_model,7703.6821517665785,4852.847016918085,15828.565474827308
09,constrained_PI,5407.190255487229,3477.6161232527115,10906.478791939284
09,PI,6428.865718697386,4264.030481314002,12598.648870545421
09,data,15258.876152037354,9106.496591580075,33761.434450040324
10,queuing_model,1666.7585751268552,918.5609139135488,4049.836355931587
10,constrained_PI,786.8561265731736,435.06908098351477,1907.2769299158672
10,PI,1053.6779798877621,659.9974818345171,2304.641410671727
10,data,2448.399354348553,1367.7968929919302,6166.120235252021
11,queuing_model,2188.6921419213445,1552.2588161889653,3310.8014654726308
11,constrained_PI,-1554.914602548394,-1322.6647821278636,-1962.8866759692035
11,PI,1073.6454431236136,812.7934727962361,1533.2059839638496
11,data,-247.65587620416758,-172.46187526190997,-391.0910707341195
12,queuing_model,977.3358436784163,585.4707086072615,1668.9827750426477
12,constrained_PI,161.95615447579272,93.83648365619496,282.20410955287343
12,PI,444.2425749474909,335.9504511501179,635.0313353832595
12,data,1231.7742603392312,761.739141020335,2274.850682930265
13,queuing_model,2305.1236911828632,1679.9491785859054,3407.0660527909235
13,constrained_PI,794.9463259852577,600.2000209139553,1138.0552508020805
13,PI,1421.3109556937875,1099.260100799786,1988.4945446602921
13,data,1844.5569202144445,1182.5008773205907,3270.492051011726
14,queuing_model,793.1122809022086,502.54074004427684,1545.9547959736647
14,constrained_PI,1237.004124663233,808.5335227695031,2346.9047026351377
14,PI,1973.9638091287943,1360.9763427130868,3561.1519816324558
14,data,-82.36392629194955,-49.978662784253366,-172.03038902655354
15,queuing_model,451.4866011050619,288.96590797100583,872.5361283875615
15,constrained_PI,265.43141700777284,150.94327298982316,562.2161729651716
15,PI,484.61750332239274,334.5201230640816,873.2560913356564
15,data,669.1757751940286,423.51458454271165,1326.789611865486
16,queuing_model,349.53980874821724,13.856144391794137,
16,constrained_PI,93.39537867213373,22.36883982166318,
16,PI,2.737730274093254,-0.4696231389039189,
16,data,35.582187265265425,7.888659619704704,
17,queuing_model,1246.1260816925248,711.0246700769451,3311.3973579233816
17,constrained_PI,645.8029185615925,359.75616469615517,1750.1161683535831
17,PI,884.0192729403143,537.4912711211858,2220.374240877486
17,data,2065.279869711934,1168.9206202875778,5686.36005791587
18,queuing_model,1128.2967150284953,485.63093091119356,2634.5440151282346
18,constrained_PI,1458.3279622028467,497.4279994220335,3710.436482432283
18,PI,11745.319459184551,8343.982995188428,19717.193997061215
18,data,6096.481613934189,3643.113076153149,12541.169848325197
19,queuing_model,5836.229153891835,4003.7130105050346,9724.736222219992
19,constrained_PI,3017.186057200336,2104.764670530177,4953.298296720861
19,PI,4816.661352833035,3532.722176742703,7541.115418882474
19,data,6989.440204729097,4321.055873216878,13411.524319927477
20,queuing_model,3563.113166366778,2388.753560118257,6055.047602915199
20,constrained_PI,1024.9983960974948,699.5203009597473,1715.6472199199568
20,PI,2117.7608724860847,1543.5466704091107,3336.215772078985
20,data,2500.5445810157576,1255.5962899882875,6876.21220610216
21,queuing_model,0.8002594152129068,-13.970960961697383,28.56055415416467
21,constrained_PI,652.2492710215461,468.93178554741155,989.0589890931745
21,PI,926.629444362984,698.881059663706,1343.6766137621955
21,data,2299.1858779870004,1498.8209172814218,3953.172211214792
22,queuing_model,1207.4115393505324,887.4877315904871,1794.3838815465374
22,constrained_PI,765.9714179277089,562.9492268857299,1138.464349124927
22,PI,479.43415815750626,351.1467977700587,714.8629868768936
22,data,1443.7520310040297,898.7606449710942,2659.643402291163
23,queuing_model,3047.8453395714196,2092.0825879500485,4808.106598063335
23,constrained_PI,2568.1630674663747,1901.40749231181,3790.846830766262
23,PI,2991.351972072503,2234.1523393693124,4378.992505650069
23,data,2409.8292786798,1634.9584888429845,3952.745822354681
24,queuing_model,527.6747668315434,377.8872151341477,802.9346871470481
24,constrained_PI,121.86294870703252,77.13084103725592,204.49504251509794
24,PI,181.18714706216485,132.1380342823464,271.22227130159035
24,data,955.339688461751,539.5477690437248,2053.023515171587
25,queuing_model,2237.378522752019,1601.1337553364883,3406.6696651675065
25,constrained_PI,1243.5815795455032,924.5945086704475,1828.353983347702
25,PI,1403.5552043576292,1061.192347923231,2030.3543387538975
25,data,2167.0061498643486,1339.1369113543062,4075.0493661461837
