disease_group,model,mean,lower,upper
00,queuing_model,40354.16218416709,29407.609387600587,60364.51322810184
00,constrained_PI,17845.873016277004,11422.082708641205,28821.301026062018
00,PI,19654.853136696358,14913.1628366442,28298.460996539223
00,data,39824.852715809844,26259.802235207688,68123.61087993477
01,queuing_model,18883.462749780334,9850.469141399462,52285.73166174461
01,constrained_PI,14196.542641487087,8194.559295212463,36978.15976412938
01,PI,15744.70640517079,9820.333413666927,38125.92059252206
01,data,21756.482780852202,12901.830092498547,55719.051557901716
02,queuing_model,114.97291840064605,-191.1568356200479,1299.9956220303688
02,constrained_PI,-232.88598629110513,-418.0950892730504,181.85295619745912
02,PI,1711.781608377952,1172.6497571296482,2821.3827915823044
02,data,-613.9262685004322,-348.2903103803037,-1391.1219298292838
03,queuing_model,20304.123322795633,12563.75783862327,36115.22782004378
03,constrained_PI,15845.031213340699,11084.259894680386,25872.62150515648
03,PI,16918.605898050733,12323.571455186991,26274.960299171333
03,data,20955.728326080523,14037.262470299882,36251.46914663025
04,queuing_model,-56952.54602262591,-40299.890182716255,-109365.44194543622
04,constrained_PI,-48916.93392972852,-35743.2986105064,-85551.40698531944
04,PI,-43581.88886268111,-29427.80878094453,-88501.55697757321
04,data,-48200.873306790614,-27876.577729537945,-116301.03720332297
05,queuing_model,22797.51614202286,10556.882121808192,88763.32237057526
05,constrained_PI,20196.42984870252,11177.751387137676,69993.71098530723
05,PI,19314.040581197685,10677.647039986847,66181.28280276366
05,data,23907.79446540304,13217.780230416938,82650.42029197066
06,queuing_model,3318.5352202308645,840.8396814054475,8274.74837356137
06,constrained_PI,3316.2781239525552,1953.1648837389077,5763.015681099077
06,PI,4639.587264995744,3475.933888815976,6801.66445849226
06,data,2902.2423088356422,2068.397749513935,4513.064498910556
07,queuing_model,-51.83302955252631,-265.84733366548596,343.6737666741773
07,constrained_PI,-5753.877998421136,-6942.00560294644,-2943.364563008182
07,PI,-4842.019898620913,-3834.2304848638373,-6676.6052086505
07,data,-6723.1155984811585,-4578.306209404141,-10944.35062679612
08,queuing_model,19692.588283430774,12494.573743903178,31858.922907035536
08,constrained_PI,11305.247202367065,6861.084416741337,19281.434179448803
08,PI,15026.357386809954,11519.30733427175,20977.682335921014
08,data,16212.03109828412,11970.962233240136,23809.127566253326
09,queuing_model,13570.255576634541,6903.92223420523,32318.34666112596
09,constrained_PI,10691.194935223288,6731.1110817675335,21880.47526799723
09,PI,10635.65050883872,7049.284020289122,20977.824124590574
09,data,16561.77151924392,9883.116231372724,36658.00648573563
10,queuing_model,2565.070645886256,808.8483809783146,8962.131820374638
10,constrained_PI,1851.2682026147809,800.9205875233456,5111.916262794422
10,PI,1692.5657901177722,1059.1118206469255,3697.6225376025322
10,data,2889.117852741969,1613.7529983656668,7279.621304697067
11,queuing_model,2603.6466869214787,1000.5696531758399,4979.029441914678
11,constrained_PI,2385.7828501256677,1555.3493522476526,3843.302522656009
11,PI,2629.3686910085644,1983.8227228542153,3737.343358340064
11,data,721.66554633351,502.6116604234918,1139.8356171513194
12,queuing_model,1218.4857413243785,395.1945221756233,3313.355828494965
12,constrained_PI,416.7340871640138,183.95482033555768,798.2959053135279
12,PI,569.2919195237671,387.24285746605034,864.5872060985082
12,data,1931.1598522164084,1195.0891835128346,3564.319634030832
13,queuing_model,2304.0282352968843,1017.7573644668648,4211.1689092456445
13,constrained_PI,1480.088109931046,1013.5974842028369,2270.411372682722
13,PI,1831.6697386512017,1398.154778295666,2597.9576018600937
13,data,2692.148035412406,1724.8539860027543,4777.7823929429915
14,queuing_model,1079.6633906075997,410.4283056698933,2732.07382091637
14,constrained_PI,2416.440963133173,1357.6682902441414,4938.671136911173
14,PI,3182.6582693702444,2163.4372086938683,5869.983487270351
14,data,3564.7762564308828,2163.923432267112,7443.156589322352
15,queuing_model,462.47244052714893,235.58783500228293,1109.7855075276316
15,constrained_PI,438.67162086070766,267.69034398508717,879.0247792069468
15,PI,583.8851683901479,401.58987031483633,1054.9697106917865
15,data,594.9764999852633,376.48330405128206,1180.1446548061579
16,queuing_model,184.13340711911593,-38.10641432855977,
16,constrained_PI,214.98366716918002,42.32439200909945,
16,PI,8.700980739782876,-1.445681591409245,
16,data,528.6140092448284,117.1758544218393,
17,queuing_model,1203.9124810319686,-14.035297921779781,4959.836647628034
17,constrained_PI,1404.2129805660422,673.075073617428,4059.7016186647315
17,PI,1503.2174375088036,898.162065787739,3813.889042956989
17,data,2786.127970958704,1576.6494952590829,7677.8713318347955
18,queuing_model,1243.9716995412866,-152.47771075644172,5030.389822444426
18,constrained_PI,1786.3017562961031,903.0972984748485,3623.1136940087167
18,PI,1717.284532409903,1200.3034409120369,2931.615088445075
18,data,5122.043850138713,3060.1826588406498,10542.6019447093
19,queuing_model,7864.991931861447,3897.8886629968106,15510.529908676077
19,constrained_PI,5684.206223114846,3763.492120761493,9659.178617304928
19,PI,6280.1809616647015,4585.7619491064725,9897.451581706284
19,data,8916.23812060396,5515.741308756631,17105.44069537834
20,queuing_model,2285.6478811937786,1044.4649210888567,5759.366529945317
20,constrained_PI,1268.1922814972008,781.9294183777133,2284.695245823397
20,PI,1652.2346274906586,1196.1404419776918,2629.1602788817936
20,data,3534.0222089583363,1773.6024413142375,9735.967180125128
21,queuing_model,40.67041703326777,-141.85772332146047,589.1081033811423
21,constrained_PI,1187.151040804399,731.1558126640919,2090.289254937564
21,PI,1812.8128242199882,1362.570733936462,2646.687725717904
21,data,3589.70705605393,2339.9844763778383,6174.022173882301
22,queuing_model,1393.1829064940835,874.1070779036854,2344.140226545792
22,constrained_PI,803.5568472146232,549.5053670490036,1245.081070647812
22,PI,716.9880645094621,537.2467294926522,1048.9918042833913
22,data,1529.9161688886813,952.4548859496723,2818.4251054429783
23,queuing_model,6623.939388844754,3411.1203031278505,12122.447164767247
23,constrained_PI,5658.660826886908,3978.342238725234,8772.635096159667
23,PI,6095.877718201643,4570.428224515782,8924.087897662277
23,data,8641.252880886042,5862.051074250514,14175.951507551434
24,queuing_model,687.4798877148354,343.29124895139216,1349.3749734274606
24,constrained_PI,274.568172595065,168.89467537421896,464.85957845501673
24,PI,326.33929424473257,245.11163188473046,476.0205097468243
24,data,825.0260048984267,465.7907394654754,1772.9873488978765
25,queuing_model,2627.4838887334467,1389.141997920288,4657.12403877852
25,constrained_PI,1446.452002702231,941.9803463465876,2481.623167202207
25,PI,1471.8211857086226,1100.2876101862332,2161.635699459093
25,data,2202.527092112086,1361.1244025197113,4141.832699445741
AA,queuing_model,,,
AA,constrained_PI,,,
AA,PI,,,
AA,data,,,
PP,queuing_model,-936.2070194940204,-796.3410699152053,-853.0843095095652
PP,constrained_PI,-3991.0876868556247,-3510.4787704717482,-4960.311900142231
PP,PI,1069.8181698592718,749.9452363993546,1652.699329759676
PP,data,-333.6426683030363,-222.31808150426886,-556.5817226221269
total,queuing_model,115483.81135592204,55546.74185415783,279035.81890001503
total,constrained_PI,63219.083012729825,28523.113216660215,167840.28723969663
total,PI,88366.38940245521,61527.722121062405,169285.71907584133
total,data,136318.6647782982,87915.130813502,278061.6191249849
total (no negatives),queuing_model,173424.3974275945,96908.82044045477,388910.6713882866
total (no negatives),constrained_PI,122113.86861402623,75136.99128985785,261113.5177319691
total (no negatives),PI,136790.29816375722,94789.76138687074,264463.8812620651
total (no negatives),data,192190.22262037348,120940.62314432865,407254.7106075555
