disease_group,model,reduction,QALY
00,queuing_model,63.81 (63.19;64.43),42713 (32261;61850)
00,constrained_PI,29.13 (28.29;29.98),19501 (14442;28777)
00,PI,47.34 (47.13;47.56),31691 (24063;45651)
00,data,65.48 (56.61;78.08),43832 (28904;74951)
01,queuing_model,10.97 (10.56;11.38),14664 (8923;36397)
01,constrained_PI,10.04 (9.81;10.27),13423 (8293;32844)
01,PI,10.08 (10.05;10.11),13475 (8491;32340)
01,data,16.77 (15.73;17.94),22415 (13294;57391)
02,queuing_model,0.85 (-0.37;2.07),140 (-46;519)
02,constrained_PI,-48.26 (-49.07;-47.46),-7933 (-6042;-11896)
02,PI,-1.36 (-1.99;-0.72),-223 (-245;-181)
02,data,-11.22 (-8.49;-16.67),-1844 (-1046;-4178)
03,queuing_model,16.62 (15.92;17.31),16559 (11886;26308)
03,constrained_PI,14.21 (13.37;15.05),14158 (9977;22872)
03,PI,14.74 (14.60;14.88),14685 (10896;22607)
03,data,17.18 (15.37;19.48),17120 (11474;29603)
04,queuing_model,-30.83 (-32.11;-29.55),-51096 (-34477;-104241)
04,constrained_PI,-31.97 (-32.94;-31.01),-52987 (-35360;-109389)
04,PI,-27.04 (-27.41;-26.67),-44813 (-29425;-94094)
04,data,-29.62 (-26.45;-33.57),-49092 (-28397;-118423)
05,queuing_model,6.93 (6.65;7.21),13307 (7586;44185)
05,constrained_PI,5.82 (5.68;5.97),11177 (6478;36542)
05,PI,7.30 (7.20;7.41),14027 (8221;45377)
05,data,7.67 (7.13;8.31),14725 (8141;50894)
06,queuing_model,1.45 (1.36;1.53),1315 (959;1982)
06,constrained_PI,1.09 (1.01;1.17),988 (709;1510)
06,PI,2.80 (2.74;2.86),2542 (1924;3697)
06,data,0.98 (0.91;1.07),894 (637;1390)
07,queuing_model,0.07 (0.06;0.08),52 (32;88)
07,constrained_PI,-13.44 (-20.11;-6.76),-9930 (-11336;-7168)
07,PI,-8.69 (-8.77;-8.61),-6422 (-4946;-9120)
07,data,-15.66 (-13.99;-17.77),-11575 (-7884;-18831)
08,queuing_model,5.52 (5.18;5.87),10298 (7651;14902)
08,constrained_PI,1.85 (1.42;2.28),3452 (2095;5803)
08,PI,4.09 (4.04;4.13),7616 (5969;10486)
08,data,8.01 (7.47;8.63),14933 (11029;21922)
09,queuing_model,8.67 (8.08;9.25),7704 (4853;15829)
09,constrained_PI,6.08 (5.79;6.37),5407 (3478;10906)
09,PI,7.23 (7.10;7.36),6429 (4264;12599)
09,data,17.17 (15.17;19.73),15259 (9106;33761)
10,queuing_model,3.59 (3.03;4.15),1667 (919;4050)
10,constrained_PI,1.69 (1.44;1.95),787 (435;1907)
10,PI,2.27 (2.18;2.36),1054 (660;2305)
10,data,5.27 (4.51;6.32),2448 (1368;6166)
11,queuing_model,4.88 (4.43;5.33),2189 (1552;3311)
11,constrained_PI,-3.47 (-3.77;-3.16),-1555 (-1323;-1963)
11,PI,2.39 (2.32;2.47),1074 (813;1533)
11,data,-0.55 (-0.49;-0.63),-248 (-172;-391)
12,queuing_model,8.25 (6.32;10.19),977 (585;1669)
12,constrained_PI,1.37 (1.01;1.72),162 (94;282)
12,PI,3.75 (3.63;3.88),444 (336;635)
12,data,10.40 (8.23;13.88),1232 (762;2275)
13,queuing_model,19.18 (17.88;20.48),2305 (1680;3407)
13,constrained_PI,6.61 (6.39;6.84),795 (600;1138)
13,PI,11.83 (11.70;11.96),1421 (1099;1988)
13,data,15.35 (12.58;19.66),1845 (1183;3270)
14,queuing_model,2.08 (1.91;2.26),793 (503;1546)
14,constrained_PI,3.25 (3.07;3.43),1237 (809;2347)
14,PI,5.19 (5.17;5.20),1974 (1361;3561)
14,data,-0.22 (-0.19;-0.25),-82 (-50;-172)
15,queuing_model,4.86 (4.50;5.22),451 (289;873)
15,constrained_PI,2.86 (2.35;3.36),265 (151;562)
15,PI,5.22 (5.20;5.23),485 (335;873)
15,data,7.20 (6.59;7.94),669 (424;1327)
16,queuing_model,3.13 (0.47;5.78),350 (14;nan)
16,constrained_PI,0.84 (0.76;0.91),93 (22;nan)
16,PI,0.02 (-0.02;0.06),3 (-0;nan)
16,data,0.32 (0.27;0.39),36 (8;nan)
17,queuing_model,2.95 (2.68;3.21),1246 (711;3311)
17,constrained_PI,1.53 (1.36;1.70),646 (360;1750)
17,PI,2.09 (2.03;2.15),884 (537;2220)
17,data,4.88 (4.41;5.51),2065 (1169;5686)
18,queuing_model,1.85 (1.11;2.58),1128 (486;2635)
18,constrained_PI,2.39 (1.14;3.63),1458 (497;3710)
18,PI,19.23 (19.15;19.31),11745 (8344;19717)
18,data,9.98 (8.36;12.28),6096 (3643;12541)
19,queuing_model,14.98 (13.97;15.99),5836 (4004;9725)
