disease_group,model,reduction,QALY
00,queuing_model,60.29 (57.60;62.89),40354 (29408;60365)
00,constrained_PI,26.66 (22.37;30.03),17846 (11422;28821)
00,PI,29.36 (29.21;29.48),19655 (14913;28298)
00,data,59.50 (51.43;70.97),39825 (26260;68124)
01,queuing_model,14.13 (11.66;16.35),18883 (9850;52286)
01,constrained_PI,10.62 (9.70;11.56),14197 (8195;36978)
01,PI,11.78 (11.62;11.92),15745 (9820;38126)
01,data,16.28 (15.27;17.42),21756 (12902;55719)
02,queuing_model,0.70 (-1.55;5.19),115 (-191;1300)
02,constrained_PI,-1.42 (-3.40;0.73),-233 (-418;182)
02,PI,10.41 (9.52;11.26),1712 (1173;2821)
02,data,-3.73 (-2.83;-5.55),-614 (-348;-1391)
03,queuing_model,20.38 (16.83;23.77),20304 (12564;36115)
03,constrained_PI,15.90 (14.85;17.03),15845 (11084;25873)
03,PI,16.98 (16.51;17.29),16919 (12324;26275)
03,data,21.03 (18.80;23.86),20956 (14037;36251)
04,queuing_model,-34.37 (-37.54;-31.00),-56953 (-40300;-109365)
04,constrained_PI,-29.52 (-33.29;-24.25),-48917 (-35743;-85551)
04,PI,-26.30 (-27.41;-25.09),-43582 (-29428;-88502)
04,data,-29.09 (-25.97;-32.97),-48201 (-27877;-116301)
05,queuing_model,11.87 (9.25;14.49),22798 (10557;88763)
05,constrained_PI,10.52 (9.79;11.43),20196 (11178;69994)
05,PI,10.06 (9.35;10.80),19314 (10678;66181)
05,data,12.45 (11.58;13.49),23908 (13218;82650)
06,queuing_model,3.65 (1.20;6.39),3319 (841;8275)
06,constrained_PI,3.65 (2.78;4.45),3316 (1953;5763)
06,PI,5.10 (4.94;5.25),4640 (3476;6802)
06,data,3.19 (2.94;3.49),2902 (2068;4513)
07,queuing_model,-0.07 (-0.47;0.32),-52 (-266;344)
07,constrained_PI,-7.79 (-12.31;-2.78),-5754 (-6942;-2943)
07,PI,-6.55 (-6.80;-6.30),-4842 (-3834;-6677)
07,data,-9.10 (-8.12;-10.33),-6723 (-4578;-10944)
08,queuing_model,10.56 (8.46;12.54),19693 (12495;31859)
08,constrained_PI,6.06 (4.65;7.59),11305 (6861;19281)
08,PI,8.06 (7.80;8.26),15026 (11519;20978)
08,data,8.70 (8.11;9.37),16212 (11971;23809)
09,queuing_model,15.27 (11.50;18.89),13570 (6904;32318)
09,constrained_PI,12.03 (11.21;12.79),10691 (6731;21880)
09,PI,11.97 (11.74;12.26),10636 (7049;20978)
09,data,18.63 (16.46;21.43),16562 (9883;36658)
10,queuing_model,5.53 (2.67;9.18),2565 (809;8962)
10,constrained_PI,3.99 (2.64;5.24),1851 (801;5112)
10,PI,3.65 (3.50;3.79),1693 (1059;3698)
10,data,6.22 (5.33;7.46),2889 (1614;7280)
11,queuing_model,5.81 (2.85;8.02),2604 (1001;4979)
11,constrained_PI,5.32 (4.44;6.19),2386 (1555;3843)
11,PI,5.86 (5.66;6.02),2629 (1984;3737)
11,data,1.61 (1.43;1.84),722 (503;1140)
12,queuing_model,10.29 (4.27;20.22),1218 (395;3313)
12,constrained_PI,3.52 (1.99;4.87),417 (184;798)
12,PI,4.81 (4.18;5.28),569 (387;865)
12,data,16.31 (12.91;21.75),1931 (1195;3564)
13,queuing_model,19.17 (10.83;25.32),2304 (1018;4211)
13,constrained_PI,12.32 (10.79;13.65),1480 (1014;2270)
13,PI,15.24 (14.88;15.62),1832 (1398;2598)
13,data,22.40 (18.35;28.72),2692 (1725;4778)
14,queuing_model,2.84 (1.56;3.99),1080 (410;2732)
14,constrained_PI,6.35 (5.16;7.22),2416 (1358;4939)
14,PI,8.36 (8.22;8.58),3183 (2163;5870)
14,data,9.37 (8.22;10.88),3565 (2164;7443)
15,queuing_model,4.98 (3.67;6.64),462 (236;1110)
15,constrained_PI,4.72 (4.16;5.26),439 (268;879)
15,PI,6.28 (6.25;6.31),584 (402;1055)
15,data,6.40 (5.86;7.06),595 (376;1180)
16,queuing_model,1.65 (-1.29;5.69),184 (-38;nan)
16,constrained_PI,1.92 (1.44;2.49),215 (42;nan)
16,PI,0.08 (-0.05;0.26),9 (-1;nan)
16,data,4.73 (3.98;5.82),529 (117;nan)
17,queuing_model,2.85 (-0.05;4.81),1204 (-14;4960)
17,constrained_PI,3.32 (2.54;3.93),1404 (673;4060)
17,PI,3.55 (3.39;3.70),1503 (898;3814)
17,data,6.59 (5.95;7.44),2786 (1577;7678)
18,queuing_model,2.04 (-0.35;4.93),1244 (-152;5030)
18,constrained_PI,2.92 (2.07;3.55),1786 (903;3623)
18,PI,2.81 (2.76;2.87),1717 (1200;2932)
18,data,8.39 (7.02;10.32),5122 (3060;10543)
19,queuing_model,20.18 (13.60;25.50),7865 (3898;15511)
19,constrained_PI,14.59 (13.13;15.88),5684 (3763;9659)
19,PI,16.12 (16.00;16.27),6280 (4586;9897)
19,data,22.88 (19.24;28.12),8916 (5516;17105)
20,queuing_model,16.49 (10.24;26.61),2286 (1044;5759)
20,constrained_PI,9.15 (7.67;10.56),1268 (782;2285)
20,PI,11.92 (11.73;12.15),1652 (1196;2629)
20,data,25.49 (17.39;44.99),3534 (1774;9736)
21,queuing_model,0.17 (-0.76;1.68),41 (-142;589)
21,constrained_PI,4.86 (3.92;5.96),1187 (731;2090)
21,PI,7.41 (7.31;7.55),1813 (1363;2647)
21,data,14.68 (12.55;17.61),3590 (2340;6174)
22,queuing_model,38.72 (31.85;45.43),1393 (874;2344)
22,constrained_PI,22.33 (20.02;24.13),804 (550;1245)
22,PI,19.93 (19.57;20.33),717 (537;1049)
22,data,42.52 (34.70;54.62),1530 (952;2818)
23,queuing_model,11.16 (7.53;14.24),6624 (3411;12122)
23,constrained_PI,9.53 (8.79;10.31),5659 (3978;8773)
23,PI,10.27 (10.10;10.48),6096 (4570;8924)
23,data,14.56 (12.95;16.66),8641 (5862;14176)
24,queuing_model,33.91 (22.20;46.41),687 (343;1349)
24,constrained_PI,13.54 (10.92;15.99),275 (169;465)
24,PI,16.10 (15.85;16.37),326 (245;476)
24,data,40.69 (30.12;60.98),825 (466;1773)
25,queuing_model,23.12 (16.03;28.58),2627 (1389;4657)
25,constrained_PI,12.73 (10.87;15.23),1446 (942;2482)
25,PI,12.95 (12.69;13.27),1472 (1100;2162)
25,data,19.38 (15.70;25.42),2203 (1361;4142)
AA,queuing_model,6.07 (3.49;8.71),nan (nan;nan)
AA,constrained_PI,7.05 (6.52;7.66),nan (nan;nan)
AA,PI,9.43 (9.27;9.63),nan (nan;nan)
AA,data,6.21 (5.73;6.75),nan (nan;nan)
PP,queuing_model,-2.10 (-2.34;-1.33),-936 (-796;-853)
PP,constrained_PI,-8.96 (-10.33;-7.76),-3991 (-3510;-4960)
PP,PI,2.40 (2.21;2.59),1070 (750;1653)
PP,data,-0.75 (-0.65;-0.87),-334 (-222;-557)
total,queuing_model,8.07 (5.25;10.81),115484 (55547;279036)
