,epsilon,sigma,sigma_covid,MAE
00,"1.30E-01
(7.44E-02;2.17E-01)","1.73E-01
(1.09E-01;2.49E-01)","5.05E+00
(4.87E+00;5.24E+00)",0.085
01,"1.37E-01
(9.21E-02;1.90E-01)","6.98E-01
(5.28E-01;8.73E-01)","5.05E+00
(4.87E+00;5.24E+00)",0.081
02,"1.31E-01
(7.87E-03;3.33E-01)","6.81E+00
(9.91E-01;9.89E+00)","5.05E+00
(4.87E+00;5.24E+00)",0.697
03,"7.44E-01
(4.27E-01;9.86E-01)","8.85E-01
(6.93E-01;1.07E+00)","5.05E+00
(4.87E+00;5.24E+00)",0.107
04,"9.08E-01
(6.92E-01;9.97E-01)","1.04E+00
(8.37E-01;1.27E+00)","5.05E+00
(4.87E+00;5.24E+00)",0.179
05,"3.56E-01
(2.09E-01;5.18E-01)","9.08E-01
(7.20E-01;1.10E+00)","5.05E+00
(4.87E+00;5.24E+00)",0.094
06,"2.18E-01
(1.15E-01;5.24E-01)","1.11E+00
(7.99E-01;1.72E+00)","5.05E+00
(4.87E+00;5.24E+00)",0.084
07,"5.74E-01
(3.82E-02;9.79E-01)","8.40E+00
(5.39E+00;9.95E+00)","5.05E+00
(4.87E+00;5.24E+00)",0.123
08,"2.96E-01
(1.90E-01;4.06E-01)","8.55E-01
(6.94E-01;1.03E+00)","5.05E+00
(4.87E+00;5.24E+00)",0.082
09,"6.62E-01
(3.54E-01;9.65E-01)","8.85E-01
(6.93E-01;1.09E+00)","5.05E+00
(4.87E+00;5.24E+00)",0.083
10,"6.52E-01
(3.69E-01;9.68E-01)","1.15E+00
(9.01E-01;1.47E+00)","5.05E+00
(4.87E+00;5.24E+00)",0.158
11,"4.45E-01
(1.16E-01;9.36E-01)","1.97E+00
(1.12E+00;5.87E+00)","5.05E+00
(4.87E+00;5.24E+00)",0.124
12,"4.40E-01
(1.49E-02;9.67E-01)","1.14E+00
(2.22E-01;1.98E+00)","5.05E+00
(4.87E+00;5.24E+00)",0.211
13,"3.78E-01
(1.24E-01;8.03E-01)","8.15E-01
(5.05E-01;1.28E+00)","5.05E+00
(4.87E+00;5.24E+00)",0.160
14,"4.72E-01
(3.43E-02;9.63E-01)","8.27E+00
(5.26E+00;9.92E+00)","5.05E+00
(4.87E+00;5.24E+00)",0.125
15,"4.37E-01
(1.70E-02;9.74E-01)","5.07E+00
(1.40E+00;9.65E+00)","5.05E+00
(4.87E+00;5.24E+00)",0.077
16,"6.67E-01
(1.21E-01;9.84E-01)","7.22E+00
(1.62E+00;9.85E+00)","5.05E+00
(4.87E+00;5.24E+00)",0.175
17,"5.60E-01
(2.07E-01;9.76E-01)","1.92E+00
(1.31E+00;2.54E+00)","5.05E+00
(4.87E+00;5.24E+00)",0.085
18,"2.99E-01
(1.65E-02;7.78E-01)","5.91E+00
(1.71E+00;9.81E+00)","5.05E+00
(4.87E+00;5.24E+00)",0.125
19,"5.04E-01
(1.33E-01;9.51E-01)","7.76E-01
(4.63E-01;1.03E+00)","5.05E+00
(4.87E+00;5.24E+00)",0.139
20,"5.15E-01
(5.05E-02;9.74E-01)","5.62E+00
(9.89E-01;9.83E+00)","5.05E+00
(4.87E+00;5.24E+00)",0.280
21,"2.99E-01
(2.68E-02;6.80E-01)","8.47E+00
(4.99E+00;9.96E+00)","5.05E+00
(4.87E+00;5.24E+00)",0.265
22,"4.59E-01
(1.20E-01;9.17E-01)","4.80E-01
(2.62E-01;6.82E-01)","5.05E+00
(4.87E+00;5.24E+00)",0.172
23,"8.11E-01
(5.00E-01;9.90E-01)","9.80E-01
(7.96E-01;1.19E+00)","5.05E+00
(4.87E+00;5.24E+00)",0.085
24,"2.19E-01
(3.06E-02;7.84E-01)","3.08E-01
(8.06E-02;6.60E-01)","5.05E+00
(4.87E+00;5.24E+00)",0.319
25,"5.61E-01
(1.51E-01;9.76E-01)","8.22E-01
(5.22E-01;1.19E+00)","5.05E+00
(4.87E+00;5.24E+00)",0.203
AA,"5.20E-01
(2.53E-01;9.56E-01)","1.14E+00
(8.48E-01;1.64E+00)","5.05E+00
(4.87E+00;5.24E+00)",0.133
PP,"4.20E-01
(9.63E-03;9.22E-01)","5.88E+00
(1.41E+00;9.79E+00)","5.05E+00
(4.87E+00;5.24E+00)",0.209
