,first_wave,first_wave,first_wave,second_wave,second_wave,second_wave,MAE
,epsilon,sigma,sigma_covid,epsilon,sigma,sigma_covid,queuing_model
00,"1.30E-01
(7.44E-02;2.17E-01)","1.73E-01
(1.09E-01;2.49E-01)","5.05E+00
(4.87E+00;5.24E+00)","1.93E-01
(1.39E-01;2.61E-01)","3.02E-01
(1.96E-01;4.41E-01)","3.15E+00
(3.02E+00;3.27E+00)",0.096
01,"1.37E-01
(9.21E-02;1.90E-01)","6.98E-01
(5.28E-01;8.73E-01)","5.05E+00
(4.87E+00;5.24E+00)","5.73E-01
(3.18E-01;8.90E-01)","2.95E+00
(1.97E+00;4.40E+00)","3.15E+00
(3.02E+00;3.27E+00)",0.091
02,"1.31E-01
(7.87E-03;3.33E-01)","6.81E+00
(9.91E-01;9.89E+00)","5.05E+00
(4.87E+00;5.24E+00)","2.27E-04
(7.59E-06;6.78E-04)","6.94E+00
(2.94E+00;9.85E+00)","3.15E+00
(3.02E+00;3.27E+00)",0.510
03,"7.44E-01
(4.27E-01;9.86E-01)","8.85E-01
(6.93E-01;1.07E+00)","5.05E+00
(4.87E+00;5.24E+00)","5.76E-01
(3.20E-01;8.91E-01)","2.30E+00
(1.55E+00;3.35E+00)","3.15E+00
(3.02E+00;3.27E+00)",0.098
04,"9.08E-01
(6.92E-01;9.97E-01)","1.04E+00
(8.37E-01;1.27E+00)","5.05E+00
(4.87E+00;5.24E+00)","9.28E-01
(7.59E-01;9.98E-01)","1.70E+00
(1.17E+00;2.41E+00)","3.15E+00
(3.02E+00;3.27E+00)",0.183
05,"3.56E-01
(2.09E-01;5.18E-01)","9.08E-01
(7.20E-01;1.10E+00)","5.05E+00
(4.87E+00;5.24E+00)","6.46E-01
(1.74E-01;9.81E-01)","3.74E+00
(2.12E+00;5.81E+00)","3.15E+00
(3.02E+00;3.27E+00)",0.092
06,"2.18E-01
(1.15E-01;5.24E-01)","1.11E+00
(7.99E-01;1.72E+00)","5.05E+00
(4.87E+00;5.24E+00)","2.27E-04
(7.73E-06;6.79E-04)","7.71E+00
(2.71E+00;9.98E+00)","3.15E+00
(3.02E+00;3.27E+00)",0.089
07,"5.74E-01
(3.82E-02;9.79E-01)","8.40E+00
(5.39E+00;9.95E+00)","5.05E+00
(4.87E+00;5.24E+00)","2.27E-04
(7.87E-06;6.78E-04)","9.08E+00
(6.31E+00;9.98E+00)","3.15E+00
(3.02E+00;3.27E+00)",0.214
08,"2.96E-01
(1.90E-01;4.06E-01)","8.55E-01
(6.94E-01;1.03E+00)","5.05E+00
(4.87E+00;5.24E+00)","7.51E-01
(4.42E-01;9.89E-01)","4.62E+00
(3.18E+00;6.83E+00)","3.15E+00
(3.02E+00;3.27E+00)",0.099
09,"6.62E-01
(3.54E-01;9.65E-01)","8.85E-01
(6.93E-01;1.09E+00)","5.05E+00
(4.87E+00;5.24E+00)","6.26E-01
(2.32E-01;9.77E-01)","3.69E+00
(2.38E+00;5.76E+00)","3.15E+00
(3.02E+00;3.27E+00)",0.134
10,"6.52E-01
(3.69E-01;9.68E-01)","1.15E+00
(9.01E-01;1.47E+00)","5.05E+00
(4.87E+00;5.24E+00)","4.22E-01
(3.20E-02;9.80E-01)","6.72E+00
(2.31E+00;9.92E+00)","3.15E+00
(3.02E+00;3.27E+00)",0.164
11,"4.45E-01
(1.16E-01;9.36E-01)","1.97E+00
(1.12E+00;5.87E+00)","5.05E+00
(4.87E+00;5.24E+00)","8.35E-01
(5.61E-01;9.93E-01)","3.61E+00
(2.48E+00;5.33E+00)","3.15E+00
(3.02E+00;3.27E+00)",0.133
12,"4.40E-01
(1.49E-02;9.67E-01)","1.14E+00
(2.22E-01;1.98E+00)","5.05E+00
(4.87E+00;5.24E+00)","5.94E-01
(1.51E-01;9.78E-01)","2.95E+00
(1.70E+00;4.72E+00)","3.15E+00
(3.02E+00;3.27E+00)",0.203
13,"3.78E-01
(1.24E-01;8.03E-01)","8.15E-01
(5.05E-01;1.28E+00)","5.05E+00
(4.87E+00;5.24E+00)","5.72E-01
(2.63E-01;9.54E-01)","2.33E+00
(1.54E+00;3.36E+00)","3.15E+00
(3.02E+00;3.27E+00)",0.166
14,"4.72E-01
(3.43E-02;9.63E-01)","8.27E+00
(5.26E+00;9.92E+00)","5.05E+00
(4.87E+00;5.24E+00)","6.48E-01
(3.19E-01;9.77E-01)","3.86E+00
(2.66E+00;5.74E+00)","3.15E+00
(3.02E+00;3.27E+00)",0.139
15,"4.37E-01
(1.70E-02;9.74E-01)","5.07E+00
(1.40E+00;9.65E+00)","5.05E+00
(4.87E+00;5.24E+00)","8.73E-01
(6.51E-01;9.93E-01)","3.36E+00
(2.34E+00;4.75E+00)","3.15E+00
(3.02E+00;3.27E+00)",0.095
16,"6.67E-01
(1.21E-01;9.84E-01)","7.22E+00
(1.62E+00;9.85E+00)","5.05E+00
(4.87E+00;5.24E+00)","7.25E-02
(1.56E-02;1.94E-01)","2.81E+00
(1.37E+00;6.06E+00)","3.15E+00
(3.02E+00;3.27E+00)",0.160
17,"5.60E-01
(2.07E-01;9.76E-01)","1.92E+00
(1.31E+00;2.54E+00)","5.05E+00
(4.87E+00;5.24E+00)","8.95E-02
(3.30E-02;2.35E-01)","3.02E+00
(1.72E+00;5.53E+00)","3.15E+00
(3.02E+00;3.27E+00)",0.071
18,"2.99E-01
(1.65E-02;7.78E-01)","5.91E+00
(1.71E+00;9.81E+00)","5.05E+00
(4.87E+00;5.24E+00)","8.93E-02
(3.75E-02;3.21E-01)","2.48E+00
(1.46E+00;4.75E+00)","3.15E+00
(3.02E+00;3.27E+00)",0.157
19,"5.04E-01
(1.33E-01;9.51E-01)","7.76E-01
(4.63E-01;1.03E+00)","5.05E+00
(4.87E+00;5.24E+00)","8.84E-01
(6.26E-01;9.96E-01)","2.82E+00
(1.92E+00;4.08E+00)","3.15E+00
(3.02E+00;3.27E+00)",0.162
20,"5.15E-01
(5.05E-02;9.74E-01)","5.62E+00
(9.89E-01;9.83E+00)","5.05E+00
(4.87E+00;5.24E+00)","4.02E-02
(1.76E-02;7.68E-02)","3.40E-01
(1.64E-01;6.52E-01)","3.15E+00
(3.02E+00;3.27E+00)",0.396
21,"2.99E-01
(2.68E-02;6.80E-01)","8.47E+00
(4.99E+00;9.96E+00)","5.05E+00
(4.87E+00;5.24E+00)","1.85E-01
(6.99E-03;5.16E-01)","6.77E+00
(2.71E+00;9.91E+00)","3.15E+00
(3.02E+00;3.27E+00)",0.204
22,"4.59E-01
(1.20E-01;9.17E-01)","4.80E-01
(2.62E-01;6.82E-01)","5.05E+00
(4.87E+00;5.24E+00)","3.11E-01
(1.42E-01;5.90E-01)","1.23E+00
(7.57E-01;1.96E+00)","3.15E+00
(3.02E+00;3.27E+00)",0.203
23,"8.11E-01
(5.00E-01;9.90E-01)","9.80E-01
(7.96E-01;1.19E+00)","5.05E+00
(4.87E+00;5.24E+00)","4.06E-01
(1.27E-01;8.97E-01)","4.09E+00
(2.68E+00;6.40E+00)","3.15E+00
(3.02E+00;3.27E+00)",0.138
24,"2.19E-01
(3.06E-02;7.84E-01)","3.08E-01
(8.06E-02;6.60E-01)","5.05E+00
(4.87E+00;5.24E+00)","3.65E-01
(5.22E-02;9.64E-01)","1.79E+00
(5.66E-01;3.85E+00)","3.15E+00
(3.02E+00;3.27E+00)",0.356
25,"5.61E-01
(1.51E-01;9.76E-01)","8.22E-01
(5.22E-01;1.19E+00)","5.05E+00
(4.87E+00;5.24E+00)","3.43E-01
(1.69E-01;6.30E-01)","1.47E+00
(9.12E-01;2.27E+00)","3.15E+00
(3.02E+00;3.27E+00)",0.189
AA,"5.20E-01
(2.53E-01;9.56E-01)","1.14E+00
(8.48E-01;1.64E+00)","5.05E+00
(4.87E+00;5.24E+00)","3.37E-01
(5.94E-02;9.25E-01)","4.74E+00
(2.80E+00;9.42E+00)","3.15E+00
(3.02E+00;3.27E+00)",0.144
