,epsilon,sigma,sigma_covid,MAE
00,"1.93E-01
(1.39E-01;2.61E-01)","3.02E-01
(1.96E-01;4.41E-01)","3.15E+00
(3.02E+00;3.27E+00)",0.152
01,"5.73E-01
(3.18E-01;8.90E-01)","2.95E+00
(1.97E+00;4.40E+00)","3.15E+00
(3.02E+00;3.27E+00)",0.050
02,"2.27E-04
(7.59E-06;6.78E-04)","6.94E+00
(2.94E+00;9.85E+00)","3.15E+00
(3.02E+00;3.27E+00)",0.449
03,"5.76E-01
(3.20E-01;8.91E-01)","2.30E+00
(1.55E+00;3.35E+00)","3.15E+00
(3.02E+00;3.27E+00)",0.079
04,"9.28E-01
(7.59E-01;9.98E-01)","1.70E+00
(1.17E+00;2.41E+00)","3.15E+00
(3.02E+00;3.27E+00)",0.176
05,"6.46E-01
(1.74E-01;9.81E-01)","3.74E+00
(2.12E+00;5.81E+00)","3.15E+00
(3.02E+00;3.27E+00)",0.061
06,"2.27E-04
(7.73E-06;6.79E-04)","7.71E+00
(2.71E+00;9.98E+00)","3.15E+00
(3.02E+00;3.27E+00)",0.089
07,"2.27E-04
(7.87E-06;6.78E-04)","9.08E+00
(6.31E+00;9.98E+00)","3.15E+00
(3.02E+00;3.27E+00)",0.240
08,"7.51E-01
(4.42E-01;9.89E-01)","4.62E+00
(3.18E+00;6.83E+00)","3.15E+00
(3.02E+00;3.27E+00)",0.080
09,"6.26E-01
(2.32E-01;9.77E-01)","3.69E+00
(2.38E+00;5.76E+00)","3.15E+00
(3.02E+00;3.27E+00)",0.111
10,"4.22E-01
(3.20E-02;9.80E-01)","6.72E+00
(2.31E+00;9.92E+00)","3.15E+00
(3.02E+00;3.27E+00)",0.148
11,"8.35E-01
(5.61E-01;9.93E-01)","3.61E+00
(2.48E+00;5.33E+00)","3.15E+00
(3.02E+00;3.27E+00)",0.136
12,"5.94E-01
(1.51E-01;9.78E-01)","2.95E+00
(1.70E+00;4.72E+00)","3.15E+00
(3.02E+00;3.27E+00)",0.222
13,"5.72E-01
(2.63E-01;9.54E-01)","2.33E+00
(1.54E+00;3.36E+00)","3.15E+00
(3.02E+00;3.27E+00)",0.171
14,"6.48E-01
(3.19E-01;9.77E-01)","3.86E+00
(2.66E+00;5.74E+00)","3.15E+00
(3.02E+00;3.27E+00)",0.099
15,"8.73E-01
(6.51E-01;9.93E-01)","3.36E+00
(2.34E+00;4.75E+00)","3.15E+00
(3.02E+00;3.27E+00)",0.116
16,"7.25E-02
(1.56E-02;1.94E-01)","2.81E+00
(1.37E+00;6.06E+00)","3.15E+00
(3.02E+00;3.27E+00)",0.105
17,"8.95E-02
(3.30E-02;2.35E-01)","3.02E+00
(1.72E+00;5.53E+00)","3.15E+00
(3.02E+00;3.27E+00)",0.066
18,"8.93E-02
(3.75E-02;3.21E-01)","2.48E+00
(1.46E+00;4.75E+00)","3.15E+00
(3.02E+00;3.27E+00)",0.186
19,"8.84E-01
(6.26E-01;9.96E-01)","2.82E+00
(1.92E+00;4.08E+00)","3.15E+00
(3.02E+00;3.27E+00)",0.140
20,"4.02E-02
(1.76E-02;7.68E-02)","3.40E-01
(1.64E-01;6.52E-01)","3.15E+00
(3.02E+00;3.27E+00)",0.250
21,"1.85E-01
(6.99E-03;5.16E-01)","6.77E+00
(2.71E+00;9.91E+00)","3.15E+00
(3.02E+00;3.27E+00)",0.168
22,"3.11E-01
(1.42E-01;5.90E-01)","1.23E+00
(7.57E-01;1.96E+00)","3.15E+00
(3.02E+00;3.27E+00)",0.149
23,"4.06E-01
(1.27E-01;8.97E-01)","4.09E+00
(2.68E+00;6.40E+00)","3.15E+00
(3.02E+00;3.27E+00)",0.119
24,"3.65E-01
(5.22E-02;9.64E-01)","1.79E+00
(5.66E-01;3.85E+00)","3.15E+00
(3.02E+00;3.27E+00)",0.311
25,"3.43E-01
(1.69E-01;6.30E-01)","1.47E+00
(9.12E-01;2.27E+00)","3.15E+00
(3.02E+00;3.27E+00)",0.152
AA,"3.37E-01
(5.94E-02;9.25E-01)","4.74E+00
(2.80E+00;9.42E+00)","3.15E+00
(3.02E+00;3.27E+00)",0.060
PP,"4.82E-01
(1.51E-02;9.73E-01)","7.71E+00
(5.27E+00;9.87E+00)","3.15E+00
(3.02E+00;3.27E+00)",0.217
