,Reduction (data),Reduction (model),MAE (%),QALY loss (data),QALY loss (model)
00,60.04361747077291,57.83390986244485,7.9,20151 (15370; 28896),19409 (14805; 27833)
01,17.200338636542867,21.37332331661591,8.7,11528 (7286; 27585),14325 (9054; 34277)
02,-2.4131907818680673,15.862683148467625,45.1,-199 (-149; -303),1307 (979; 1994)
03,21.947731478886126,27.200557907732744,14.3,10965 (8214; 16722),13589 (10180; 20724)
04,-27.686843406670008,-27.02663050601781,15.6,-23005 (-14903; -48967),-22456 (-14548; -47799)
05,13.325473005546584,22.366090022946764,13.1,12830 (7626; 40927),21534 (12800; 68694)
06,4.177986117315442,11.532643534825255,13.1,1904 (1473; 2712),5255 (4065; 7485)
07,-8.063314165223943,0.9639748210375245,14.6,-2988 (-2279; -4285),357 (272; 512)
08,9.515260968826652,20.319884310067707,16.2,8893 (7042; 12119),18991 (15039; 25881)
09,19.251937084847825,28.70548850260377,15.6,8578 (5794; 16514),12791 (8639; 24623)
10,7.130769009221865,15.123474488400802,21.8,1660 (1083; 3490),3520 (2297; 7402)
11,2.6957663562579484,7.928674997791234,15.0,606 (474; 839),1783 (1394; 2467)
12,16.87240363229965,13.75575458872332,28.4,1002 (783; 1386),817 (638; 1130)
13,22.86935610652479,29.645286910241126,20.3,1378 (1077; 1907),1786 (1397; 2472)
14,10.439048428612097,6.705766900087241,14.2,1992 (1378; 3582),1280 (885; 2301)
15,7.391742166247624,3.9670177204357486,11.7,344 (238; 619),185 (128; 332)
16,5.808967289653083,7.959474004485074,17.1,326 (86; 566),446 (118; 775)
17,7.209007386446331,0.6104521509091398,9.4,1529 (958; 3730),129 (81; 316)
18,9.59559128049537,4.542167010214641,15.1,2938 (2096; 4913),1391 (992; 2325)
19,23.231611944101672,29.82274347554555,16.5,4539 (3339; 7085),5826 (4286; 9095)
20,25.592354474418627,17.13615887171143,33.4,1779 (1309; 2777),1191 (876; 1859)
21,15.837232199960212,1.6919826508080007,24.5,1942 (1481; 2784),207 (158; 297)
22,43.2173978255003,46.63105573082,19.1,780 (595; 1118),841 (642; 1206)
23,15.377204150905598,25.71783311100903,18.3,4576 (3490; 6562),7653 (5838; 10975)
24,41.44346528777529,35.717175967796294,30.3,421 (321; 604),363 (277; 521)
25,20.142237130291292,21.055292924142137,17.1,1148 (875; 1646),1200 (915; 1720)
AA,7.316753608314073,19.416128331921726,15.3,0 (0; 0),0 (0; 0)
PP,0.5279719462962191,5.325007420100306,17.7,118 (90; 169),1190 (908; 1706)
Total,10.067788064843782,14.44662884113751,14.3,75734 (55149; 135696),114912 (83116; 211124)
