time,F1,F1_LL,F1_UL,F4a,F4a_LL,F4a_UL,F4b,F4b_LL,F4b_UL,F4c,F4c_LL,F4c_UL,F4d,F4d_LL,F4d_UL,F5a,F5a_LL,F5a_UL,F5b,F5b_LL,F5b_UL,F5c,F5c_LL,F5c_UL,F5d,F5d_LL,F5d_UL
2020-09-01,3201.163688875717,3201.1636888757166,3201.1636888757166,3201.163688875717,3201.1636888757166,3201.1636888757166,3201.163688875717,3201.1636888757166,3201.1636888757166,3201.163688875717,3201.1636888757166,3201.1636888757166,3201.163688875717,3201.1636888757166,3201.1636888757166,3201.163688875717,3201.1636888757166,3201.1636888757166,3201.163688875717,3201.1636888757166,3201.1636888757166,3201.163688875717,3201.1636888757166,3201.1636888757166,3201.163688875717,3201.1636888757166,3201.1636888757166
2020-09-02,3203.552603111785,3203.55260307766,3203.5526031476975,3203.5526035484445,3203.5526035271296,3203.5526035767653,3203.5525824975093,3203.552582242294,3203.5525826511166,3203.5525703221665,3203.552570166296,3203.552570508314,3203.5525652408924,3203.552565060668,3203.552565481443,3203.5526031200116,3203.5526030935252,3203.55260315311,3203.552602979408,3203.552602949794,3203.5526030130113,3203.55260337402,3203.552603356352,3203.552603394733,3203.5526031532936,3203.552603134397,3203.5526031728423
2020-09-03,3205.876974243581,3205.876972964912,3205.876975542611,3205.8769714900072,3205.876970671895,3205.876972718944,3205.876292088257,3205.876291028162,3205.8762937014712,3205.8762337618737,3205.876233518621,3205.8762340093745,3205.876186311709,3205.876186075714,3205.876186510647,3205.8769741484125,3205.876973154752,3205.8769753681995,3205.8769740103608,3205.8769728513125,3205.8769753109536,3205.8769707579377,3205.8769698585993,3205.876972241648,3205.876948054714,3205.8769470445177,3205.8769491151124
2020-09-04,3208.1390457754605,3208.139033888535,3208.139057856618,3208.1390235766494,3208.1390160874307,3208.1390348341874,3208.134895742246,3208.134891876063,3208.134901229307,3208.1343022848855,3208.1343011224026,3208.1343036859025,3208.13396502288,3208.13396454504,3208.133965665667,3208.1390449652945,3208.1390357329965,3208.139056303318,3208.139039640071,3208.1390289534374,3208.1390516380393,3208.1390078745867,3208.138999809378,3208.1390211932858,3208.13882929153,3208.138820487472,3208.1388385440814
2020-09-05,3210.3417301963636,3210.341674674612,3210.34178664491,3210.3416218602893,3210.341586944353,3210.3416743594075,3210.3268738795364,3210.3268572209736,3210.3268988802383,3210.324530870451,3210.324525530174,3210.32453725521,3210.323274975224,3210.3232729822143,3210.3232775628894,3210.341726283259,3210.3416831611385,3210.341779258405,3210.341689501581,3210.341639763553,3210.3417453627844,3210.3415180070806,3210.341480792536,3210.3415794798857,3210.3407448072176,3210.3407046109073,3210.3407870599535
2020-09-06,3212.488772157174,3212.488594286211,3212.488953026393,3212.4884100833547,3212.4882984263577,3212.488577991513,3212.4502547539378,3212.450201032987,3212.4503355082347,3212.443507705172,3212.443491199283,3212.4435276360655,3212.4401043797798,3212.4400986144556,3212.440112154144,3212.4887590376693,3212.488620897978,3212.4889287673595,3212.4886031918977,3212.48844447325,3212.488781455169,3212.487974078218,3212.487856431963,3212.488168428674,3212.4855858927185,3212.4854603421363,3212.4857178685297
2020-09-07,3214.58480088089,3214.5843503219603,3214.585259156461,3214.5838440352804,3214.5835684665726,3214.584256270222,3214.503028575241,3214.5028932403893,3214.503231779361,3214.487348635981,3214.4873070274652,3214.4873989138714,3214.4798090028344,3214.479794687319,3214.4798283214504,3214.5847657689574,3214.5844158786695,3214.585195782478,3214.5842654191056,3214.5838652558837,3214.584714891869,3214.5824550675875,3214.582161684579,3214.582939813811,3214.576515804465,3214.5762069540733,3214.576840494292
2020-09-08,3216.635383090226,3216.6344093887587,3216.636373777543,3216.6332277216816,3216.6326615797516,3216.6340660123406,3216.4838327914717,3216.483539785954,3216.484273512377,3216.452345157748,3216.4522552628487,3216.4524537182865,3216.4378407826152,3216.437810514344,3216.437881682431,3216.6353020814,3216.634546017358,3216.6362315594088,3216.633975255132,3216.6331150362385,3216.634941340806,3216.6295664278923,3216.628944469032,3216.6305942566305,3216.616871778852,3216.616226172977,3216.617550555071
2020-09-09,3218.6470415337226,3218.6451647977055,3218.648951683845,3218.6427268840653,3218.6416996945773,3218.644230431023,3218.392461219852,3218.391895653578,3218.3933121890364,3218.335561759328,3218.3353890838716,3218.335770523755,3218.3102823217114,3218.3102252558065,3218.3103594468143,3218.6468731006817,3218.6454160603143,3218.6486649417666,3218.64381769682,3218.6421709127762,3218.645668348169,3218.634292982997,3218.633119768162,3218.6362322060086,3218.6099626500686,3218.6087649377914,3218.611222041965
2020-09-10,3220.627275400703,3220.623955052891,3220.630656097937,3220.6193798232634,3220.617633168539,3220.6218707133125,3220.229849557081,3220.2288473881194,3220.231358058809,3220.1350598173094,3220.134754708376,3220.135428745793,3220.09414209805,3220.0940431333875,3220.094275885599,3220.626951013054,3220.6243736782762,3220.6301216809557,3220.6206235976983,3220.61772877411,3220.6238761895866,3220.6018804848427,3220.5998542596435,3220.605230446282,3220.5589901751187,3220.556957758371,3220.5611275120514
