time,S1,S1_LL,S1_UL,S4a,S4a_LL,S4a_UL,S4b,S4b_LL,S4b_UL,S4c,S4c_LL,S4c_UL,S4d,S4d_LL,S4d_UL,S5a,S5a_LL,S5a_UL,S5b,S5b_LL,S5b_UL,S5c,S5c_LL,S5c_UL,S5d,S5d_LL,S5d_UL
2020-09-01,3201.163688875717,3201.1636888757166,3201.1636888757166,3201.163688875717,3201.1636888757166,3201.1636888757166,3201.163688875717,3201.1636888757166,3201.1636888757166,3201.163688875717,3201.1636888757166,3201.1636888757166,3201.163688875717,3201.1636888757166,3201.1636888757166,3201.163688875717,3201.1636888757166,3201.1636888757166,3201.163688875717,3201.1636888757166,3201.1636888757166,3201.163688875717,3201.1636888757166,3201.1636888757166,3201.163688875717,3201.1636888757166,3201.1636888757166
2020-09-02,3203.5525970711265,3203.5525969674154,3203.5525971433563,3203.55259641663,3203.552596328381,3203.5525964811222,3203.5525103323025,3203.552509540054,3203.5525112483106,3203.552501312256,3203.552500693453,3203.552502116215,3203.552494037601,3203.552493509403,3203.5524946580645,3203.5525970135486,3203.5525969051105,3203.552597100315,3203.5525962451156,3203.5525961417047,3203.5525963140517,3203.5525955554854,3203.552595423275,3203.552595671252,3203.5525962363004,3203.552596069939,3203.552596394479
2020-09-03,3205.876980453214,3205.876979416087,3205.8769819699783,3205.8769798115727,3205.8769788205345,3205.8769812747278,3205.8763832971763,3205.87638253345,3205.8763839866006,3205.8763046254826,3205.8763041534494,3205.876305047853,3205.876256366363,3205.876256185184,3205.8762565255547,3205.8769805260185,3205.876979237358,3205.876982167165,3205.876981119549,3205.876980043936,3205.876982765425,3205.876979825367,3205.8769785805243,3205.876981274737,3205.876955556546,3205.876954358824,3205.876956840225
2020-09-04,3208.139043423655,3208.1390326443725,3208.1390560869004,3208.139025513751,3208.139018168359,3208.1390363927485,3208.1348926433693,3208.1348885187917,3208.134897337224,3208.134314943458,3208.134313188859,3208.1343169407655,3208.1339822592686,3208.133981319631,3208.1339832047934,3208.139044114482,3208.139030358172,3208.139056704699,3208.1390397719733,3208.139031944773,3208.139051776744,3208.139009889775,3208.139000924147,3208.1390203476158,3208.1388283470337,3208.1388199174717,3208.1388373923937
2020-09-05,3210.34170176566,3210.3416418967804,3210.3417652707203,3210.3416177365307,3210.341583338758,3210.3416687101876,3210.3268812109145,3210.326862154747,3210.326903198886,3210.3245347773654,3210.3245287515438,3210.3245424781217,3210.323282598586,3210.323280183039,3210.323285336627,3210.341707248481,3210.3416297535373,3210.341767967867,3210.3416744112264,3210.3416379109244,3210.341730423591,3210.341511095866,3210.341469839288,3210.3415592430883,3210.340729209717,3210.3406910693056,3210.3407701582214
2020-09-06,3212.488743373137,3212.4885479344493,3212.488948890718,3212.4884592776175,3212.488348730283,3212.4886231604814,3212.450257417965,3212.450196959488,3212.4503273596965,3212.4434969580643,3212.443478598058,3212.4435208653504,3212.440099950455,3212.44009305501,3212.4401079667737,3212.488760883345,3212.4885078807783,3212.488956803423,3212.488615584847,3212.4884984163755,3212.488795390733,3212.4880090463057,3212.487877857042,3212.4881621533923,3212.485587741609,3212.4854673575487,3212.485717494752
2020-09-07,3214.584819190916,3214.584338361769,3214.585332544303,3214.58406369797,3214.5837847305675,3214.5844779114796,3214.503042643639,3214.5028898069013,3214.503219571731,3214.4873204827986,3214.4872744573377,3214.4873807232416,3214.4797966965443,3214.4797799366925,3214.4798163400837,3214.584857875353,3214.5842353793932,3214.585350109607,3214.5843827875124,3214.5840880803835,3214.5848350982083,3214.5826312673776,3214.5823043856335,3214.5830127900335,3214.5766119550226,3214.5763157848355,3214.576931173999
2020-09-08,3216.6354465455343,3216.634455563896,3216.636532249899,3216.6337862550045,3216.633186402146,3216.6346803466777,3216.4838848062263,3216.483554408315,3216.484267438328,3216.452339171,3216.4522396508005,3216.452469501959,3216.437833645012,3216.437798096246,3216.4378753048736,3216.6355132051394,3216.6342291730884,3216.6365645648966,3216.634236188722,3216.6336043537176,3216.635206441238,3216.629977267119,3216.6292848374746,3216.630785571321,3216.6171285189175,3216.616505622205,3216.617805365364
2020-09-09,3218.6470682477398,3218.645257618365,3218.6491122038815,3218.643850568291,3218.6427000018894,3218.645572777349,3218.392551384507,3218.391914055398,3218.3932896510964,3218.3356118258835,3218.3354181828745,3218.3358733158275,3218.310281840011,3218.3102145500206,3218.3103607465846,3218.6471611726574,3218.6448132414816,3218.6491619164963,3218.644185724518,3218.6429720718443,3218.646051455963,3218.6350327336663,3218.633727866628,3218.6365562409765,3218.6104522164796,3218.609284631072,3218.6117369364993
2020-09-10,3220.6270389875094,3220.624005022747,3220.6305713109177,3220.6213280177635,3220.6193041882325,3220.6243693522483,3220.230001914838,3220.2288727864216,3220.231310449707,3220.1352143178183,3220.1348640351853,3220.1357257269055,3220.0941653597656,3220.0940485930887,3220.0943023280397,3220.6271372636747,3220.6232052132755,3220.630633360336,3220.6209050910343,3220.6187520728686,3220.62422423958,3220.603017188179,3220.6007663666414,3220.6056456278247,3220.5597559788785,3220.5577716690013,3220.561943554224
